ParkName,Region,State,Year,RecreationVisits
Great Smoky Mountains NP,Southeast,TN,2019,12547743
Grand Canyon NP,Intermountain,AZ,2019,5974411
Rocky Mountain NP,Intermountain,CO,2019,4670053
Zion NP,Intermountain,UT,2019,4488268
Yosemite NP,Pacific West,CA,2019,4422861
Yellowstone NP,Intermountain,WY,2019,4020288
Acadia NP,Northeast,ME,2019,3437286
Grand Teton NP,Intermountain,WY,2019,3405614
Olympic NP,Pacific West,WA,2019,3245806
Glacier NP,Intermountain,MT,2019,3049839
Joshua Tree NP,Pacific West,CA,2019,2988547
Bryce Canyon NP,Intermountain,UT,2019,2594904
Cuyahoga Valley NP,Midwest,OH,2019,2237997
Indiana Dunes NP,Midwest,IN,2019,2134285
Gateway Arch NP,Midwest,MO,2019,2055309
Death Valley NP,Pacific West,CA,2019,1740945
Arches NP,Intermountain,UT,2019,1659702
Mount Rainier NP,Pacific West,WA,2019,1501621
Hot Springs NP,Midwest,AR,2019,1467153
Shenandoah NP,Northeast,VA,2019,1425507
Hawaii Volcanoes NP,Pacific West,HI,2019,1368376
Sequoia NP,Pacific West,CA,2019,1246053
Capitol Reef NP,Intermountain,UT,2019,1226519
New River Gorge NP & PRES,Northeast,WV,2019,1195721
Everglades NP,Southeast,FL,2019,1118300
Saguaro NP,Intermountain,AZ,2019,1020226
Haleakala NP,Pacific West,HI,2019,994394
Badlands NP,Midwest,SD,2019,970998
Canyonlands NP,Intermountain,UT,2019,733996
Biscayne NP,Southeast,FL,2019,708522
Crater Lake NP,Pacific West,OR,2019,704512
Theodore Roosevelt NP,Midwest,ND,2019,691658
Glacier Bay NP & PRES,Alaska,AK,2019,672087
Petrified Forest NP,Intermountain,AZ,2019,643588
Kings Canyon NP,Pacific West,CA,2019,632110
Wind Cave NP,Midwest,SD,2019,615350
White Sands NP,Intermountain,NM,2019,608785
Denali NP & PRES,Alaska,AK,2019,601152
Mesa Verde NP,Intermountain,CO,2019,556203
Mammoth Cave NP,Southeast,KY,2019,551590
Great Sand Dunes NP & PRES,Intermountain,CO,2019,527546
Lassen Volcanic NP,Pacific West,CA,2019,517039
Redwood NP,Pacific West,CA,2019,504722
Big Bend NP,Intermountain,TX,2019,463832
Carlsbad Caverns NP,Intermountain,NM,2019,440691
Black Canyon of the Gunnison NP,Intermountain,CO,2019,432818
Channel Islands NP,Pacific West,CA,2019,409630
Kenai Fjords NP,Alaska,AK,2019,356601
Voyageurs NP,Midwest,MN,2019,232974
Guadalupe Mountains NP,Intermountain,TX,2019,188833
Pinnacles NP,Pacific West,CA,2019,177224
Congaree NP,Southeast,SC,2019,159445
Virgin Islands NP,Southeast,VI,2019,133398
Great Basin NP,Pacific West,NV,2019,131802
Katmai NP & PRES,Alaska,AK,2019,84167
Dry Tortugas NP,Southeast,FL,2019,79200
Wrangell-St. Elias NP & PRES,Alaska,AK,2019,74518
National Park of American Samoa,Pacific West,AS,2019,60006
North Cascades NP,Pacific West,WA,2019,38208
Isle Royale NP,Midwest,MI,2019,26410
Lake Clark NP & PRES,Alaska,AK,2019,17157
Kobuk Valley NP,Alaska,AK,2019,15766
Gates of the Arctic NP & PRES,Alaska,AK,2019,10518
