Year,RecreationVisits
1979,52605100
1980,53921174
1981,57163980
1982,57406687
1983,58491521
1984,57335469
1985,58287491
1986,62375241
1987,65638052
1988,66093316
1989,66898798
1990,64192615
1991,68282857
1992,69859794
1993,71913677
1994,72933979
1995,75453461
1996,74284003
1997,76310729
1998,75910411
1999,75332239
2000,73520383
2001,71399633
2002,72046762
2003,70217433
2004,70113274
2005,70285864
2006,66601047
2007,68407842
2008,66766473
2009,69042242
2010,71079019
2011,68607024
2012,71065451
2013,69136047
2014,73927020
2015,80305331
2016,87619211
2017,89391395
2018,87714135
2019,91010784
2020,67931703
2021,92251857
2022,88662181
2023,92390204
