ParkName,Region,State,Year,RecreationVisits
Acadia NP,Northeast,ME,1979,2787366
Acadia NP,Northeast,ME,1980,2779666
Acadia NP,Northeast,ME,1981,2997972
Acadia NP,Northeast,ME,1982,3572114
Acadia NP,Northeast,ME,1983,4124639
Acadia NP,Northeast,ME,1984,3734763
Acadia NP,Northeast,ME,1985,3745570
Acadia NP,Northeast,ME,1986,3929054
Acadia NP,Northeast,ME,1987,4288154
Acadia NP,Northeast,ME,1988,4502283
Acadia NP,Northeast,ME,1989,5440952
Acadia NP,Northeast,ME,1990,2339591
Acadia NP,Northeast,ME,1991,2475857
Acadia NP,Northeast,ME,1992,2382113
Acadia NP,Northeast,ME,1993,2656034
Acadia NP,Northeast,ME,1994,2710749
Acadia NP,Northeast,ME,1995,2845378
Acadia NP,Northeast,ME,1996,2704831
Acadia NP,Northeast,ME,1997,2760306
Acadia NP,Northeast,ME,1998,2594497
Acadia NP,Northeast,ME,1999,2602227
Acadia NP,Northeast,ME,2000,2469238
Acadia NP,Northeast,ME,2001,2516551
Acadia NP,Northeast,ME,2002,2558572
Acadia NP,Northeast,ME,2003,2431062
Acadia NP,Northeast,ME,2004,2207847
Acadia NP,Northeast,ME,2005,2051484
Acadia NP,Northeast,ME,2006,2083588
Acadia NP,Northeast,ME,2007,2202228
Acadia NP,Northeast,ME,2008,2075857
Acadia NP,Northeast,ME,2009,2227698
Acadia NP,Northeast,ME,2010,2504208
Acadia NP,Northeast,ME,2011,2374645
Acadia NP,Northeast,ME,2012,2431052
Acadia NP,Northeast,ME,2013,2254922
Acadia NP,Northeast,ME,2014,2563129
Acadia NP,Northeast,ME,2015,2811184
Acadia NP,Northeast,ME,2016,3303393
Acadia NP,Northeast,ME,2017,3509271
Acadia NP,Northeast,ME,2018,3537575
Acadia NP,Northeast,ME,2019,3437286
Acadia NP,Northeast,ME,2020,2669034
Acadia NP,Northeast,ME,2021,4069098
Acadia NP,Northeast,ME,2022,3970260
Acadia NP,Northeast,ME,2023,3879890
