ParkName,Region,State,Year,RecreationVisits
Arches NP,Intermountain,UT,1979,269840
Arches NP,Intermountain,UT,1980,290519
Arches NP,Intermountain,UT,1981,326508
Arches NP,Intermountain,UT,1982,339415
Arches NP,Intermountain,UT,1983,287875
Arches NP,Intermountain,UT,1984,345180
Arches NP,Intermountain,UT,1985,363464
Arches NP,Intermountain,UT,1986,419444
Arches NP,Intermountain,UT,1987,468916
Arches NP,Intermountain,UT,1988,520455
Arches NP,Intermountain,UT,1989,555809
Arches NP,Intermountain,UT,1990,620719
Arches NP,Intermountain,UT,1991,705882
Arches NP,Intermountain,UT,1992,799831
Arches NP,Intermountain,UT,1993,773678
Arches NP,Intermountain,UT,1994,777178
Arches NP,Intermountain,UT,1995,859374
Arches NP,Intermountain,UT,1996,856016
Arches NP,Intermountain,UT,1997,858525
Arches NP,Intermountain,UT,1998,837161
Arches NP,Intermountain,UT,1999,869980
Arches NP,Intermountain,UT,2000,786429
Arches NP,Intermountain,UT,2001,754026
Arches NP,Intermountain,UT,2002,769672
Arches NP,Intermountain,UT,2003,757781
Arches NP,Intermountain,UT,2004,733131
Arches NP,Intermountain,UT,2005,781670
Arches NP,Intermountain,UT,2006,833049
Arches NP,Intermountain,UT,2007,860181
Arches NP,Intermountain,UT,2008,928795
Arches NP,Intermountain,UT,2009,996312
Arches NP,Intermountain,UT,2010,1014405
Arches NP,Intermountain,UT,2011,1040758
Arches NP,Intermountain,UT,2012,1070577
Arches NP,Intermountain,UT,2013,1082866
Arches NP,Intermountain,UT,2014,1284767
Arches NP,Intermountain,UT,2015,1399247
Arches NP,Intermountain,UT,2016,1585718
Arches NP,Intermountain,UT,2017,1539028
Arches NP,Intermountain,UT,2018,1663557
Arches NP,Intermountain,UT,2019,1659702
Arches NP,Intermountain,UT,2020,1238083
Arches NP,Intermountain,UT,2021,1806865
Arches NP,Intermountain,UT,2022,1460652
Arches NP,Intermountain,UT,2023,1482045
