ParkName,Region,State,Year,RecreationVisits
Badlands NP,Midwest,SD,1979,858000
Badlands NP,Midwest,SD,1980,952652
Badlands NP,Midwest,SD,1981,1175952
Badlands NP,Midwest,SD,1982,1030484
Badlands NP,Midwest,SD,1983,1026981
Badlands NP,Midwest,SD,1984,1113675
Badlands NP,Midwest,SD,1985,950242
Badlands NP,Midwest,SD,1986,1025630
Badlands NP,Midwest,SD,1987,1174398
Badlands NP,Midwest,SD,1988,1110040
Badlands NP,Midwest,SD,1989,1237956
Badlands NP,Midwest,SD,1990,1326475
Badlands NP,Midwest,SD,1991,1518396
Badlands NP,Midwest,SD,1992,1205297
Badlands NP,Midwest,SD,1993,1179458
Badlands NP,Midwest,SD,1994,1130459
Badlands NP,Midwest,SD,1995,1075569
Badlands NP,Midwest,SD,1996,1024705
Badlands NP,Midwest,SD,1997,970696
Badlands NP,Midwest,SD,1998,1021049
Badlands NP,Midwest,SD,1999,950453
Badlands NP,Midwest,SD,2000,1105824
Badlands NP,Midwest,SD,2001,955469
Badlands NP,Midwest,SD,2002,908898
Badlands NP,Midwest,SD,2003,871034
Badlands NP,Midwest,SD,2004,936030
Badlands NP,Midwest,SD,2005,909146
Badlands NP,Midwest,SD,2006,840118
Badlands NP,Midwest,SD,2007,886654
Badlands NP,Midwest,SD,2008,845734
Badlands NP,Midwest,SD,2009,933918
Badlands NP,Midwest,SD,2010,977778
Badlands NP,Midwest,SD,2011,870741
Badlands NP,Midwest,SD,2012,883406
Badlands NP,Midwest,SD,2013,892372
Badlands NP,Midwest,SD,2014,868094
Badlands NP,Midwest,SD,2015,989354
Badlands NP,Midwest,SD,2016,996263
Badlands NP,Midwest,SD,2017,1054325
Badlands NP,Midwest,SD,2018,1008942
Badlands NP,Midwest,SD,2019,970998
Badlands NP,Midwest,SD,2020,916932
Badlands NP,Midwest,SD,2021,1224226
Badlands NP,Midwest,SD,2022,1006809
Badlands NP,Midwest,SD,2023,1046400
