ParkName,Region,State,Year,RecreationVisits
Biscayne NP,Southeast,FL,1979,202938
Biscayne NP,Southeast,FL,1980,248071
Biscayne NP,Southeast,FL,1981,305502
Biscayne NP,Southeast,FL,1982,348219
Biscayne NP,Southeast,FL,1983,369082
Biscayne NP,Southeast,FL,1984,340567
Biscayne NP,Southeast,FL,1985,460921
Biscayne NP,Southeast,FL,1986,578013
Biscayne NP,Southeast,FL,1987,607968
Biscayne NP,Southeast,FL,1988,531036
Biscayne NP,Southeast,FL,1989,589957
Biscayne NP,Southeast,FL,1990,573376
Biscayne NP,Southeast,FL,1991,488134
Biscayne NP,Southeast,FL,1992,307512
Biscayne NP,Southeast,FL,1993,19950
Biscayne NP,Southeast,FL,1994,25147
Biscayne NP,Southeast,FL,1995,584519
Biscayne NP,Southeast,FL,1996,338603
Biscayne NP,Southeast,FL,1997,392069
Biscayne NP,Southeast,FL,1998,403239
Biscayne NP,Southeast,FL,1999,442585
Biscayne NP,Southeast,FL,2000,393151
Biscayne NP,Southeast,FL,2001,489343
Biscayne NP,Southeast,FL,2002,513397
Biscayne NP,Southeast,FL,2003,490031
Biscayne NP,Southeast,FL,2004,478304
Biscayne NP,Southeast,FL,2005,563728
Biscayne NP,Southeast,FL,2006,608836
Biscayne NP,Southeast,FL,2007,517442
Biscayne NP,Southeast,FL,2008,686062
Biscayne NP,Southeast,FL,2009,437745
Biscayne NP,Southeast,FL,2010,467612
Biscayne NP,Southeast,FL,2011,476077
Biscayne NP,Southeast,FL,2012,495613
Biscayne NP,Southeast,FL,2013,486848
Biscayne NP,Southeast,FL,2014,525745
Biscayne NP,Southeast,FL,2015,508164
Biscayne NP,Southeast,FL,2016,514709
Biscayne NP,Southeast,FL,2017,446961
Biscayne NP,Southeast,FL,2018,469253
Biscayne NP,Southeast,FL,2019,708522
Biscayne NP,Southeast,FL,2020,402770
Biscayne NP,Southeast,FL,2021,705655
Biscayne NP,Southeast,FL,2022,701023
Biscayne NP,Southeast,FL,2023,571242
