ParkName,Region,State,Year,RecreationVisits
Black Canyon of the Gunnison NP,Intermountain,CO,1979,234286
Black Canyon of the Gunnison NP,Intermountain,CO,1980,336119
Black Canyon of the Gunnison NP,Intermountain,CO,1981,266604
Black Canyon of the Gunnison NP,Intermountain,CO,1982,227428
Black Canyon of the Gunnison NP,Intermountain,CO,1983,291618
Black Canyon of the Gunnison NP,Intermountain,CO,1984,253048
Black Canyon of the Gunnison NP,Intermountain,CO,1985,266012
Black Canyon of the Gunnison NP,Intermountain,CO,1986,289117
Black Canyon of the Gunnison NP,Intermountain,CO,1987,285439
Black Canyon of the Gunnison NP,Intermountain,CO,1988,269073
Black Canyon of the Gunnison NP,Intermountain,CO,1989,288586
Black Canyon of the Gunnison NP,Intermountain,CO,1990,275323
Black Canyon of the Gunnison NP,Intermountain,CO,1991,316336
Black Canyon of the Gunnison NP,Intermountain,CO,1992,337209
Black Canyon of the Gunnison NP,Intermountain,CO,1993,319322
Black Canyon of the Gunnison NP,Intermountain,CO,1994,214194
Black Canyon of the Gunnison NP,Intermountain,CO,1995,221113
Black Canyon of the Gunnison NP,Intermountain,CO,1996,200125
Black Canyon of the Gunnison NP,Intermountain,CO,1997,209863
Black Canyon of the Gunnison NP,Intermountain,CO,1998,193451
Black Canyon of the Gunnison NP,Intermountain,CO,1999,200142
Black Canyon of the Gunnison NP,Intermountain,CO,2000,191506
Black Canyon of the Gunnison NP,Intermountain,CO,2001,181018
Black Canyon of the Gunnison NP,Intermountain,CO,2002,173687
Black Canyon of the Gunnison NP,Intermountain,CO,2003,167247
Black Canyon of the Gunnison NP,Intermountain,CO,2004,175581
Black Canyon of the Gunnison NP,Intermountain,CO,2005,180814
Black Canyon of the Gunnison NP,Intermountain,CO,2006,160450
Black Canyon of the Gunnison NP,Intermountain,CO,2007,219576
Black Canyon of the Gunnison NP,Intermountain,CO,2008,160185
Black Canyon of the Gunnison NP,Intermountain,CO,2009,171451
Black Canyon of the Gunnison NP,Intermountain,CO,2010,176344
Black Canyon of the Gunnison NP,Intermountain,CO,2011,168336
Black Canyon of the Gunnison NP,Intermountain,CO,2012,192570
Black Canyon of the Gunnison NP,Intermountain,CO,2013,175852
Black Canyon of the Gunnison NP,Intermountain,CO,2014,183045
Black Canyon of the Gunnison NP,Intermountain,CO,2015,209166
Black Canyon of the Gunnison NP,Intermountain,CO,2016,238018
Black Canyon of the Gunnison NP,Intermountain,CO,2017,307143
Black Canyon of the Gunnison NP,Intermountain,CO,2018,308962
Black Canyon of the Gunnison NP,Intermountain,CO,2019,432818
Black Canyon of the Gunnison NP,Intermountain,CO,2020,341620
Black Canyon of the Gunnison NP,Intermountain,CO,2021,308910
Black Canyon of the Gunnison NP,Intermountain,CO,2022,297257
Black Canyon of the Gunnison NP,Intermountain,CO,2023,357069
