ParkName,Region,State,Year,RecreationVisits
Canyonlands NP,Intermountain,UT,1979,74545
Canyonlands NP,Intermountain,UT,1980,56505
Canyonlands NP,Intermountain,UT,1981,89915
Canyonlands NP,Intermountain,UT,1982,97079
Canyonlands NP,Intermountain,UT,1983,100022
Canyonlands NP,Intermountain,UT,1984,102533
Canyonlands NP,Intermountain,UT,1985,116672
Canyonlands NP,Intermountain,UT,1986,172987
Canyonlands NP,Intermountain,UT,1987,172384
Canyonlands NP,Intermountain,UT,1988,212100
Canyonlands NP,Intermountain,UT,1989,257411
Canyonlands NP,Intermountain,UT,1990,276831
Canyonlands NP,Intermountain,UT,1991,339315
Canyonlands NP,Intermountain,UT,1992,395698
Canyonlands NP,Intermountain,UT,1993,434844
Canyonlands NP,Intermountain,UT,1994,429921
Canyonlands NP,Intermountain,UT,1995,448769
Canyonlands NP,Intermountain,UT,1996,447527
Canyonlands NP,Intermountain,UT,1997,432697
Canyonlands NP,Intermountain,UT,1998,436524
Canyonlands NP,Intermountain,UT,1999,446160
Canyonlands NP,Intermountain,UT,2000,401558
Canyonlands NP,Intermountain,UT,2001,368592
Canyonlands NP,Intermountain,UT,2002,367078
Canyonlands NP,Intermountain,UT,2003,386986
Canyonlands NP,Intermountain,UT,2004,371706
Canyonlands NP,Intermountain,UT,2005,393381
Canyonlands NP,Intermountain,UT,2006,392537
Canyonlands NP,Intermountain,UT,2007,417560
Canyonlands NP,Intermountain,UT,2008,436715
Canyonlands NP,Intermountain,UT,2009,436241
Canyonlands NP,Intermountain,UT,2010,435908
Canyonlands NP,Intermountain,UT,2011,473773
Canyonlands NP,Intermountain,UT,2012,452952
Canyonlands NP,Intermountain,UT,2013,462242
Canyonlands NP,Intermountain,UT,2014,542431
Canyonlands NP,Intermountain,UT,2015,634607
Canyonlands NP,Intermountain,UT,2016,776218
Canyonlands NP,Intermountain,UT,2017,742271
Canyonlands NP,Intermountain,UT,2018,739449
Canyonlands NP,Intermountain,UT,2019,733996
Canyonlands NP,Intermountain,UT,2020,493914
Canyonlands NP,Intermountain,UT,2021,911594
Canyonlands NP,Intermountain,UT,2022,779147
Canyonlands NP,Intermountain,UT,2023,800322
