ParkName,Region,State,Year,RecreationVisits
Carlsbad Caverns NP,Intermountain,NM,1979,721647
Carlsbad Caverns NP,Intermountain,NM,1980,672963
Carlsbad Caverns NP,Intermountain,NM,1981,771766
Carlsbad Caverns NP,Intermountain,NM,1982,781963
Carlsbad Caverns NP,Intermountain,NM,1983,712247
Carlsbad Caverns NP,Intermountain,NM,1984,712989
Carlsbad Caverns NP,Intermountain,NM,1985,732482
Carlsbad Caverns NP,Intermountain,NM,1986,752552
Carlsbad Caverns NP,Intermountain,NM,1987,781300
Carlsbad Caverns NP,Intermountain,NM,1988,786135
Carlsbad Caverns NP,Intermountain,NM,1989,792378
Carlsbad Caverns NP,Intermountain,NM,1990,747016
Carlsbad Caverns NP,Intermountain,NM,1991,679450
Carlsbad Caverns NP,Intermountain,NM,1992,688742
Carlsbad Caverns NP,Intermountain,NM,1993,687161
Carlsbad Caverns NP,Intermountain,NM,1994,617087
Carlsbad Caverns NP,Intermountain,NM,1995,588609
Carlsbad Caverns NP,Intermountain,NM,1996,557217
Carlsbad Caverns NP,Intermountain,NM,1997,540797
Carlsbad Caverns NP,Intermountain,NM,1998,522076
Carlsbad Caverns NP,Intermountain,NM,1999,514418
Carlsbad Caverns NP,Intermountain,NM,2000,469303
Carlsbad Caverns NP,Intermountain,NM,2001,455621
Carlsbad Caverns NP,Intermountain,NM,2002,476259
Carlsbad Caverns NP,Intermountain,NM,2003,457631
Carlsbad Caverns NP,Intermountain,NM,2004,419599
Carlsbad Caverns NP,Intermountain,NM,2005,413786
Carlsbad Caverns NP,Intermountain,NM,2006,407367
Carlsbad Caverns NP,Intermountain,NM,2007,409560
Carlsbad Caverns NP,Intermountain,NM,2008,400381
Carlsbad Caverns NP,Intermountain,NM,2009,432639
Carlsbad Caverns NP,Intermountain,NM,2010,428524
Carlsbad Caverns NP,Intermountain,NM,2011,365000
Carlsbad Caverns NP,Intermountain,NM,2012,381058
Carlsbad Caverns NP,Intermountain,NM,2013,388566
Carlsbad Caverns NP,Intermountain,NM,2014,397309
Carlsbad Caverns NP,Intermountain,NM,2015,445720
Carlsbad Caverns NP,Intermountain,NM,2016,466773
Carlsbad Caverns NP,Intermountain,NM,2017,520026
Carlsbad Caverns NP,Intermountain,NM,2018,465912
Carlsbad Caverns NP,Intermountain,NM,2019,440691
Carlsbad Caverns NP,Intermountain,NM,2020,183835
Carlsbad Caverns NP,Intermountain,NM,2021,349244
Carlsbad Caverns NP,Intermountain,NM,2022,390932
Carlsbad Caverns NP,Intermountain,NM,2023,394121
