ParkName,Region,State,Year,RecreationVisits
Crater Lake NP,Pacific West,OR,1979,410749
Crater Lake NP,Pacific West,OR,1980,455143
Crater Lake NP,Pacific West,OR,1981,503404
Crater Lake NP,Pacific West,OR,1982,435589
Crater Lake NP,Pacific West,OR,1983,379008
Crater Lake NP,Pacific West,OR,1984,419829
Crater Lake NP,Pacific West,OR,1985,390604
Crater Lake NP,Pacific West,OR,1986,402789
Crater Lake NP,Pacific West,OR,1987,460550
Crater Lake NP,Pacific West,OR,1988,443430
Crater Lake NP,Pacific West,OR,1989,430734
Crater Lake NP,Pacific West,OR,1990,384941
Crater Lake NP,Pacific West,OR,1991,456931
Crater Lake NP,Pacific West,OR,1992,461668
Crater Lake NP,Pacific West,OR,1993,381747
Crater Lake NP,Pacific West,OR,1994,454215
Crater Lake NP,Pacific West,OR,1995,496041
Crater Lake NP,Pacific West,OR,1996,476957
Crater Lake NP,Pacific West,OR,1997,451548
Crater Lake NP,Pacific West,OR,1998,471865
Crater Lake NP,Pacific West,OR,1999,417992
Crater Lake NP,Pacific West,OR,2000,426883
Crater Lake NP,Pacific West,OR,2001,457373
Crater Lake NP,Pacific West,OR,2002,456620
Crater Lake NP,Pacific West,OR,2003,479183
Crater Lake NP,Pacific West,OR,2004,417066
Crater Lake NP,Pacific West,OR,2005,447240
Crater Lake NP,Pacific West,OR,2006,388972
Crater Lake NP,Pacific West,OR,2007,468958
Crater Lake NP,Pacific West,OR,2008,415686
Crater Lake NP,Pacific West,OR,2009,446516
Crater Lake NP,Pacific West,OR,2010,448319
Crater Lake NP,Pacific West,OR,2011,423551
Crater Lake NP,Pacific West,OR,2012,447251
Crater Lake NP,Pacific West,OR,2013,523027
Crater Lake NP,Pacific West,OR,2014,535508
Crater Lake NP,Pacific West,OR,2015,614712
Crater Lake NP,Pacific West,OR,2016,756344
Crater Lake NP,Pacific West,OR,2017,711749
Crater Lake NP,Pacific West,OR,2018,720659
Crater Lake NP,Pacific West,OR,2019,704512
Crater Lake NP,Pacific West,OR,2020,670500
Crater Lake NP,Pacific West,OR,2021,647751
Crater Lake NP,Pacific West,OR,2022,527259
Crater Lake NP,Pacific West,OR,2023,559976
