ParkName,Region,State,Year,RecreationVisits
Cuyahoga Valley NP,Midwest,OH,1979,543025
Cuyahoga Valley NP,Midwest,OH,1980,563300
Cuyahoga Valley NP,Midwest,OH,1981,596300
Cuyahoga Valley NP,Midwest,OH,1982,717815
Cuyahoga Valley NP,Midwest,OH,1983,939562
Cuyahoga Valley NP,Midwest,OH,1984,1018828
Cuyahoga Valley NP,Midwest,OH,1985,1004858
Cuyahoga Valley NP,Midwest,OH,1986,1042148
Cuyahoga Valley NP,Midwest,OH,1987,1113405
Cuyahoga Valley NP,Midwest,OH,1988,1229717
Cuyahoga Valley NP,Midwest,OH,1989,1159648
Cuyahoga Valley NP,Midwest,OH,1990,1200622
Cuyahoga Valley NP,Midwest,OH,1991,1358984
Cuyahoga Valley NP,Midwest,OH,1992,1430382
Cuyahoga Valley NP,Midwest,OH,1993,2266139
Cuyahoga Valley NP,Midwest,OH,1994,3266401
Cuyahoga Valley NP,Midwest,OH,1995,3195207
Cuyahoga Valley NP,Midwest,OH,1996,3455878
Cuyahoga Valley NP,Midwest,OH,1997,3527837
Cuyahoga Valley NP,Midwest,OH,1998,3467107
Cuyahoga Valley NP,Midwest,OH,1999,3324284
Cuyahoga Valley NP,Midwest,OH,2000,3324918
Cuyahoga Valley NP,Midwest,OH,2001,3123353
Cuyahoga Valley NP,Midwest,OH,2002,3217935
Cuyahoga Valley NP,Midwest,OH,2003,2879591
Cuyahoga Valley NP,Midwest,OH,2004,3306175
Cuyahoga Valley NP,Midwest,OH,2005,2533827
Cuyahoga Valley NP,Midwest,OH,2006,2468816
Cuyahoga Valley NP,Midwest,OH,2007,2486656
Cuyahoga Valley NP,Midwest,OH,2008,2828233
Cuyahoga Valley NP,Midwest,OH,2009,2589288
Cuyahoga Valley NP,Midwest,OH,2010,2492670
Cuyahoga Valley NP,Midwest,OH,2011,2161185
Cuyahoga Valley NP,Midwest,OH,2012,2299722
Cuyahoga Valley NP,Midwest,OH,2013,2103010
Cuyahoga Valley NP,Midwest,OH,2014,2189849
Cuyahoga Valley NP,Midwest,OH,2015,2284612
Cuyahoga Valley NP,Midwest,OH,2016,2423390
Cuyahoga Valley NP,Midwest,OH,2017,2226879
Cuyahoga Valley NP,Midwest,OH,2018,2096053
Cuyahoga Valley NP,Midwest,OH,2019,2237997
Cuyahoga Valley NP,Midwest,OH,2020,2755628
Cuyahoga Valley NP,Midwest,OH,2021,2575275
Cuyahoga Valley NP,Midwest,OH,2022,2913312
Cuyahoga Valley NP,Midwest,OH,2023,2860059
