ParkName,Region,State,Year,RecreationVisits
Denali NP & PRES,Alaska,AK,1979,251105
Denali NP & PRES,Alaska,AK,1980,216361
Denali NP & PRES,Alaska,AK,1981,256593
Denali NP & PRES,Alaska,AK,1982,321868
Denali NP & PRES,Alaska,AK,1983,346082
Denali NP & PRES,Alaska,AK,1984,395099
Denali NP & PRES,Alaska,AK,1985,436545
Denali NP & PRES,Alaska,AK,1986,529749
Denali NP & PRES,Alaska,AK,1987,575013
Denali NP & PRES,Alaska,AK,1988,592431
Denali NP & PRES,Alaska,AK,1989,543640
Denali NP & PRES,Alaska,AK,1990,546693
Denali NP & PRES,Alaska,AK,1991,558870
Denali NP & PRES,Alaska,AK,1992,503674
Denali NP & PRES,Alaska,AK,1993,505565
Denali NP & PRES,Alaska,AK,1994,490311
Denali NP & PRES,Alaska,AK,1995,543309
Denali NP & PRES,Alaska,AK,1996,341385
Denali NP & PRES,Alaska,AK,1997,354278
Denali NP & PRES,Alaska,AK,1998,372519
Denali NP & PRES,Alaska,AK,1999,386867
Denali NP & PRES,Alaska,AK,2000,363983
Denali NP & PRES,Alaska,AK,2001,360191
Denali NP & PRES,Alaska,AK,2002,311335
Denali NP & PRES,Alaska,AK,2003,360189
Denali NP & PRES,Alaska,AK,2004,404236
Denali NP & PRES,Alaska,AK,2005,403520
Denali NP & PRES,Alaska,AK,2006,415935
Denali NP & PRES,Alaska,AK,2007,458308
Denali NP & PRES,Alaska,AK,2008,432309
Denali NP & PRES,Alaska,AK,2009,358041
Denali NP & PRES,Alaska,AK,2010,378855
Denali NP & PRES,Alaska,AK,2011,406582
Denali NP & PRES,Alaska,AK,2012,388433
Denali NP & PRES,Alaska,AK,2013,530922
Denali NP & PRES,Alaska,AK,2014,531315
Denali NP & PRES,Alaska,AK,2015,560757
Denali NP & PRES,Alaska,AK,2016,587412
Denali NP & PRES,Alaska,AK,2017,642809
Denali NP & PRES,Alaska,AK,2018,594660
Denali NP & PRES,Alaska,AK,2019,601152
Denali NP & PRES,Alaska,AK,2020,54850
Denali NP & PRES,Alaska,AK,2021,229521
Denali NP & PRES,Alaska,AK,2022,427562
Denali NP & PRES,Alaska,AK,2023,498722
