ParkName,Region,State,Year,RecreationVisits
Gateway Arch NP,Midwest,MO,1979,1859431
Gateway Arch NP,Midwest,MO,1980,1928825
Gateway Arch NP,Midwest,MO,1981,2282261
Gateway Arch NP,Midwest,MO,1982,2967323
Gateway Arch NP,Midwest,MO,1983,2948022
Gateway Arch NP,Midwest,MO,1984,1709993
Gateway Arch NP,Midwest,MO,1985,2140316
Gateway Arch NP,Midwest,MO,1986,2311147
Gateway Arch NP,Midwest,MO,1987,2364694
Gateway Arch NP,Midwest,MO,1988,2477458
Gateway Arch NP,Midwest,MO,1989,2518712
Gateway Arch NP,Midwest,MO,1990,2382612
Gateway Arch NP,Midwest,MO,1991,2622425
Gateway Arch NP,Midwest,MO,1992,2415514
Gateway Arch NP,Midwest,MO,1993,2539740
Gateway Arch NP,Midwest,MO,1994,2553696
Gateway Arch NP,Midwest,MO,1995,3234977
Gateway Arch NP,Midwest,MO,1996,3649308
Gateway Arch NP,Midwest,MO,1997,3420076
Gateway Arch NP,Midwest,MO,1998,3420352
Gateway Arch NP,Midwest,MO,1999,3481042
Gateway Arch NP,Midwest,MO,2000,3458956
Gateway Arch NP,Midwest,MO,2001,3532524
Gateway Arch NP,Midwest,MO,2002,3333454
Gateway Arch NP,Midwest,MO,2003,2685219
Gateway Arch NP,Midwest,MO,2004,2779350
Gateway Arch NP,Midwest,MO,2005,2944976
Gateway Arch NP,Midwest,MO,2006,2572072
Gateway Arch NP,Midwest,MO,2007,2385387
Gateway Arch NP,Midwest,MO,2008,1954810
Gateway Arch NP,Midwest,MO,2009,2360109
Gateway Arch NP,Midwest,MO,2010,2436110
Gateway Arch NP,Midwest,MO,2011,2259020
Gateway Arch NP,Midwest,MO,2012,2496726
Gateway Arch NP,Midwest,MO,2013,2377258
Gateway Arch NP,Midwest,MO,2014,1817091
Gateway Arch NP,Midwest,MO,2015,1698656
Gateway Arch NP,Midwest,MO,2016,1271855
Gateway Arch NP,Midwest,MO,2017,1398188
Gateway Arch NP,Midwest,MO,2018,2016180
Gateway Arch NP,Midwest,MO,2019,2055309
Gateway Arch NP,Midwest,MO,2020,486021
Gateway Arch NP,Midwest,MO,2021,1145081
Gateway Arch NP,Midwest,MO,2022,1618774
Gateway Arch NP,Midwest,MO,2023,2422836
