ParkName,Region,State,Year,RecreationVisits
Glacier Bay NP & PRES,Alaska,AK,1979,91032
Glacier Bay NP & PRES,Alaska,AK,1980,95005
Glacier Bay NP & PRES,Alaska,AK,1981,85071
Glacier Bay NP & PRES,Alaska,AK,1982,90354
Glacier Bay NP & PRES,Alaska,AK,1983,92057
Glacier Bay NP & PRES,Alaska,AK,1984,108297
Glacier Bay NP & PRES,Alaska,AK,1985,130943
Glacier Bay NP & PRES,Alaska,AK,1986,136877
Glacier Bay NP & PRES,Alaska,AK,1987,130926
Glacier Bay NP & PRES,Alaska,AK,1988,148756
Glacier Bay NP & PRES,Alaska,AK,1989,150270
Glacier Bay NP & PRES,Alaska,AK,1990,186427
Glacier Bay NP & PRES,Alaska,AK,1991,203653
Glacier Bay NP & PRES,Alaska,AK,1992,211424
Glacier Bay NP & PRES,Alaska,AK,1993,242276
Glacier Bay NP & PRES,Alaska,AK,1994,250614
Glacier Bay NP & PRES,Alaska,AK,1995,252265
Glacier Bay NP & PRES,Alaska,AK,1996,304374
Glacier Bay NP & PRES,Alaska,AK,1997,347046
Glacier Bay NP & PRES,Alaska,AK,1998,403512
Glacier Bay NP & PRES,Alaska,AK,1999,442607
Glacier Bay NP & PRES,Alaska,AK,2000,384684
Glacier Bay NP & PRES,Alaska,AK,2001,380114
Glacier Bay NP & PRES,Alaska,AK,2002,408143
Glacier Bay NP & PRES,Alaska,AK,2003,366319
Glacier Bay NP & PRES,Alaska,AK,2004,353686
Glacier Bay NP & PRES,Alaska,AK,2005,359829
Glacier Bay NP & PRES,Alaska,AK,2006,413382
Glacier Bay NP & PRES,Alaska,AK,2007,438211
Glacier Bay NP & PRES,Alaska,AK,2008,418911
Glacier Bay NP & PRES,Alaska,AK,2009,438361
Glacier Bay NP & PRES,Alaska,AK,2010,444530
Glacier Bay NP & PRES,Alaska,AK,2011,431986
Glacier Bay NP & PRES,Alaska,AK,2012,454337
Glacier Bay NP & PRES,Alaska,AK,2013,500590
Glacier Bay NP & PRES,Alaska,AK,2014,500727
Glacier Bay NP & PRES,Alaska,AK,2015,551353
Glacier Bay NP & PRES,Alaska,AK,2016,520171
Glacier Bay NP & PRES,Alaska,AK,2017,547057
Glacier Bay NP & PRES,Alaska,AK,2018,597915
Glacier Bay NP & PRES,Alaska,AK,2019,672087
Glacier Bay NP & PRES,Alaska,AK,2020,5748
Glacier Bay NP & PRES,Alaska,AK,2021,89768
Glacier Bay NP & PRES,Alaska,AK,2022,545758
Glacier Bay NP & PRES,Alaska,AK,2023,703659
