ParkName,Region,State,Year,RecreationVisits
Glacier NP,Intermountain,MT,1979,1446086
Glacier NP,Intermountain,MT,1980,1474578
Glacier NP,Intermountain,MT,1981,1786523
Glacier NP,Intermountain,MT,1982,1666114
Glacier NP,Intermountain,MT,1983,2203847
Glacier NP,Intermountain,MT,1984,1946703
Glacier NP,Intermountain,MT,1985,1603011
Glacier NP,Intermountain,MT,1986,1579151
Glacier NP,Intermountain,MT,1987,1660737
Glacier NP,Intermountain,MT,1988,1817733
Glacier NP,Intermountain,MT,1989,1821523
Glacier NP,Intermountain,MT,1990,1986737
Glacier NP,Intermountain,MT,1991,2096966
Glacier NP,Intermountain,MT,1992,2199767
Glacier NP,Intermountain,MT,1993,2141704
Glacier NP,Intermountain,MT,1994,2152989
Glacier NP,Intermountain,MT,1995,1839518
Glacier NP,Intermountain,MT,1996,1720805
Glacier NP,Intermountain,MT,1997,1708856
Glacier NP,Intermountain,MT,1998,1830944
Glacier NP,Intermountain,MT,1999,1684604
Glacier NP,Intermountain,MT,2000,1728693
Glacier NP,Intermountain,MT,2001,1680614
Glacier NP,Intermountain,MT,2002,1905689
Glacier NP,Intermountain,MT,2003,1664046
Glacier NP,Intermountain,MT,2004,2033933
Glacier NP,Intermountain,MT,2005,1925101
Glacier NP,Intermountain,MT,2006,1964399
Glacier NP,Intermountain,MT,2007,2083329
Glacier NP,Intermountain,MT,2008,1808027
Glacier NP,Intermountain,MT,2009,2031348
Glacier NP,Intermountain,MT,2010,2200048
Glacier NP,Intermountain,MT,2011,1853564
Glacier NP,Intermountain,MT,2012,2162035
Glacier NP,Intermountain,MT,2013,2190374
Glacier NP,Intermountain,MT,2014,2338528
Glacier NP,Intermountain,MT,2015,2366056
Glacier NP,Intermountain,MT,2016,2946681
Glacier NP,Intermountain,MT,2017,3305512
Glacier NP,Intermountain,MT,2018,2965309
Glacier NP,Intermountain,MT,2019,3049839
Glacier NP,Intermountain,MT,2020,1698864
Glacier NP,Intermountain,MT,2021,3081656
Glacier NP,Intermountain,MT,2022,2908458
Glacier NP,Intermountain,MT,2023,2933616
