ParkName,Region,State,Year,RecreationVisits
Grand Canyon NP,Intermountain,AZ,1979,2131716
Grand Canyon NP,Intermountain,AZ,1980,2304973
Grand Canyon NP,Intermountain,AZ,1981,2472270
Grand Canyon NP,Intermountain,AZ,1982,2293127
Grand Canyon NP,Intermountain,AZ,1983,2248082
Grand Canyon NP,Intermountain,AZ,1984,2173584
Grand Canyon NP,Intermountain,AZ,1985,2711529
Grand Canyon NP,Intermountain,AZ,1986,3035787
Grand Canyon NP,Intermountain,AZ,1987,3513030
Grand Canyon NP,Intermountain,AZ,1988,3859886
Grand Canyon NP,Intermountain,AZ,1989,3966209
Grand Canyon NP,Intermountain,AZ,1990,3776685
Grand Canyon NP,Intermountain,AZ,1991,3886031
Grand Canyon NP,Intermountain,AZ,1992,4203545
Grand Canyon NP,Intermountain,AZ,1993,4575602
Grand Canyon NP,Intermountain,AZ,1994,4364316
Grand Canyon NP,Intermountain,AZ,1995,4557645
Grand Canyon NP,Intermountain,AZ,1996,4537703
Grand Canyon NP,Intermountain,AZ,1997,4791668
Grand Canyon NP,Intermountain,AZ,1998,4239682
Grand Canyon NP,Intermountain,AZ,1999,4575124
Grand Canyon NP,Intermountain,AZ,2000,4460228
Grand Canyon NP,Intermountain,AZ,2001,4104809
Grand Canyon NP,Intermountain,AZ,2002,4001974
Grand Canyon NP,Intermountain,AZ,2003,4124900
Grand Canyon NP,Intermountain,AZ,2004,4326234
Grand Canyon NP,Intermountain,AZ,2005,4401522
Grand Canyon NP,Intermountain,AZ,2006,4279439
Grand Canyon NP,Intermountain,AZ,2007,4413668
Grand Canyon NP,Intermountain,AZ,2008,4425314
Grand Canyon NP,Intermountain,AZ,2009,4348068
Grand Canyon NP,Intermountain,AZ,2010,4388386
Grand Canyon NP,Intermountain,AZ,2011,4298178
Grand Canyon NP,Intermountain,AZ,2012,4421352
Grand Canyon NP,Intermountain,AZ,2013,4564840
Grand Canyon NP,Intermountain,AZ,2014,4756771
Grand Canyon NP,Intermountain,AZ,2015,5520736
Grand Canyon NP,Intermountain,AZ,2016,5969811
Grand Canyon NP,Intermountain,AZ,2017,6254238
Grand Canyon NP,Intermountain,AZ,2018,6380495
Grand Canyon NP,Intermountain,AZ,2019,5974411
Grand Canyon NP,Intermountain,AZ,2020,2897098
Grand Canyon NP,Intermountain,AZ,2021,4532677
Grand Canyon NP,Intermountain,AZ,2022,4732101
Grand Canyon NP,Intermountain,AZ,2023,4733705
