ParkName,Region,State,Year,RecreationVisits
Grand Teton NP,Intermountain,WY,1979,2446171
Grand Teton NP,Intermountain,WY,1980,2555627
Grand Teton NP,Intermountain,WY,1981,2643644
Grand Teton NP,Intermountain,WY,1982,2534029
Grand Teton NP,Intermountain,WY,1983,1532035
Grand Teton NP,Intermountain,WY,1984,1360898
Grand Teton NP,Intermountain,WY,1985,1334483
Grand Teton NP,Intermountain,WY,1986,1306322
Grand Teton NP,Intermountain,WY,1987,1450791
Grand Teton NP,Intermountain,WY,1988,1232691
Grand Teton NP,Intermountain,WY,1989,1331659
Grand Teton NP,Intermountain,WY,1990,1588253
Grand Teton NP,Intermountain,WY,1991,1625752
Grand Teton NP,Intermountain,WY,1992,1744636
Grand Teton NP,Intermountain,WY,1993,2568689
Grand Teton NP,Intermountain,WY,1994,2540699
Grand Teton NP,Intermountain,WY,1995,2731015
Grand Teton NP,Intermountain,WY,1996,2733439
Grand Teton NP,Intermountain,WY,1997,2658762
Grand Teton NP,Intermountain,WY,1998,2757060
Grand Teton NP,Intermountain,WY,1999,2680025
Grand Teton NP,Intermountain,WY,2000,2590624
Grand Teton NP,Intermountain,WY,2001,2535108
Grand Teton NP,Intermountain,WY,2002,2612629
Grand Teton NP,Intermountain,WY,2003,2355693
Grand Teton NP,Intermountain,WY,2004,2360373
Grand Teton NP,Intermountain,WY,2005,2463442
Grand Teton NP,Intermountain,WY,2006,2406476
Grand Teton NP,Intermountain,WY,2007,2588574
Grand Teton NP,Intermountain,WY,2008,2485987
Grand Teton NP,Intermountain,WY,2009,2580081
Grand Teton NP,Intermountain,WY,2010,2669374
Grand Teton NP,Intermountain,WY,2011,2587437
Grand Teton NP,Intermountain,WY,2012,2705256
Grand Teton NP,Intermountain,WY,2013,2688794
Grand Teton NP,Intermountain,WY,2014,2791392
Grand Teton NP,Intermountain,WY,2015,3149921
Grand Teton NP,Intermountain,WY,2016,3270076
Grand Teton NP,Intermountain,WY,2017,3317000
Grand Teton NP,Intermountain,WY,2018,3491151
Grand Teton NP,Intermountain,WY,2019,3405614
Grand Teton NP,Intermountain,WY,2020,3289638
Grand Teton NP,Intermountain,WY,2021,3885230
Grand Teton NP,Intermountain,WY,2022,2806223
Grand Teton NP,Intermountain,WY,2023,3417106
