ParkName,Region,State,Year,RecreationVisits
Great Basin NP,Pacific West,NV,1979,29947
Great Basin NP,Pacific West,NV,1980,33383
Great Basin NP,Pacific West,NV,1981,33367
Great Basin NP,Pacific West,NV,1982,32264
Great Basin NP,Pacific West,NV,1983,30335
Great Basin NP,Pacific West,NV,1984,37676
Great Basin NP,Pacific West,NV,1985,36343
Great Basin NP,Pacific West,NV,1986,40359
Great Basin NP,Pacific West,NV,1987,63532
Great Basin NP,Pacific West,NV,1988,73559
Great Basin NP,Pacific West,NV,1989,70259
Great Basin NP,Pacific West,NV,1990,65026
Great Basin NP,Pacific West,NV,1991,63864
Great Basin NP,Pacific West,NV,1992,69144
Great Basin NP,Pacific West,NV,1993,91915
Great Basin NP,Pacific West,NV,1994,88024
Great Basin NP,Pacific West,NV,1995,87829
Great Basin NP,Pacific West,NV,1996,86635
Great Basin NP,Pacific West,NV,1997,90760
Great Basin NP,Pacific West,NV,1998,80363
Great Basin NP,Pacific West,NV,1999,90119
Great Basin NP,Pacific West,NV,2000,81045
Great Basin NP,Pacific West,NV,2001,81712
Great Basin NP,Pacific West,NV,2002,85777
Great Basin NP,Pacific West,NV,2003,87020
Great Basin NP,Pacific West,NV,2004,79879
Great Basin NP,Pacific West,NV,2005,77741
Great Basin NP,Pacific West,NV,2006,78524
Great Basin NP,Pacific West,NV,2007,81364
Great Basin NP,Pacific West,NV,2008,69235
Great Basin NP,Pacific West,NV,2009,84974
Great Basin NP,Pacific West,NV,2010,88870
Great Basin NP,Pacific West,NV,2011,91451
Great Basin NP,Pacific West,NV,2012,94850
Great Basin NP,Pacific West,NV,2013,92893
Great Basin NP,Pacific West,NV,2014,107526
Great Basin NP,Pacific West,NV,2015,116123
Great Basin NP,Pacific West,NV,2016,144846
Great Basin NP,Pacific West,NV,2017,168028
Great Basin NP,Pacific West,NV,2018,153094
Great Basin NP,Pacific West,NV,2019,131802
Great Basin NP,Pacific West,NV,2020,120248
Great Basin NP,Pacific West,NV,2021,144875
Great Basin NP,Pacific West,NV,2022,142115
Great Basin NP,Pacific West,NV,2023,143265
