ParkName,Region,State,Year,RecreationVisits
Great Sand Dunes NP & PRES,Intermountain,CO,1979,162546
Great Sand Dunes NP & PRES,Intermountain,CO,1980,142427
Great Sand Dunes NP & PRES,Intermountain,CO,1981,172505
Great Sand Dunes NP & PRES,Intermountain,CO,1982,175273
Great Sand Dunes NP & PRES,Intermountain,CO,1983,150177
Great Sand Dunes NP & PRES,Intermountain,CO,1984,141833
Great Sand Dunes NP & PRES,Intermountain,CO,1985,182713
Great Sand Dunes NP & PRES,Intermountain,CO,1986,221449
Great Sand Dunes NP & PRES,Intermountain,CO,1987,225937
Great Sand Dunes NP & PRES,Intermountain,CO,1988,274286
Great Sand Dunes NP & PRES,Intermountain,CO,1989,266321
Great Sand Dunes NP & PRES,Intermountain,CO,1990,272136
Great Sand Dunes NP & PRES,Intermountain,CO,1991,295070
Great Sand Dunes NP & PRES,Intermountain,CO,1992,290654
Great Sand Dunes NP & PRES,Intermountain,CO,1993,294282
Great Sand Dunes NP & PRES,Intermountain,CO,1994,312225
Great Sand Dunes NP & PRES,Intermountain,CO,1995,323663
Great Sand Dunes NP & PRES,Intermountain,CO,1996,309283
Great Sand Dunes NP & PRES,Intermountain,CO,1997,309855
Great Sand Dunes NP & PRES,Intermountain,CO,1998,279768
Great Sand Dunes NP & PRES,Intermountain,CO,1999,286745
Great Sand Dunes NP & PRES,Intermountain,CO,2000,260789
Great Sand Dunes NP & PRES,Intermountain,CO,2001,277523
Great Sand Dunes NP & PRES,Intermountain,CO,2002,234776
Great Sand Dunes NP & PRES,Intermountain,CO,2003,251375
Great Sand Dunes NP & PRES,Intermountain,CO,2004,267204
Great Sand Dunes NP & PRES,Intermountain,CO,2005,279589
Great Sand Dunes NP & PRES,Intermountain,CO,2006,258660
Great Sand Dunes NP & PRES,Intermountain,CO,2007,285121
Great Sand Dunes NP & PRES,Intermountain,CO,2008,273903
Great Sand Dunes NP & PRES,Intermountain,CO,2009,289955
Great Sand Dunes NP & PRES,Intermountain,CO,2010,283284
Great Sand Dunes NP & PRES,Intermountain,CO,2011,280058
Great Sand Dunes NP & PRES,Intermountain,CO,2012,254674
Great Sand Dunes NP & PRES,Intermountain,CO,2013,242841
Great Sand Dunes NP & PRES,Intermountain,CO,2014,271774
Great Sand Dunes NP & PRES,Intermountain,CO,2015,299513
Great Sand Dunes NP & PRES,Intermountain,CO,2016,388308
Great Sand Dunes NP & PRES,Intermountain,CO,2017,486935
Great Sand Dunes NP & PRES,Intermountain,CO,2018,442905
Great Sand Dunes NP & PRES,Intermountain,CO,2019,527546
Great Sand Dunes NP & PRES,Intermountain,CO,2020,461532
Great Sand Dunes NP & PRES,Intermountain,CO,2021,602613
Great Sand Dunes NP & PRES,Intermountain,CO,2022,493428
Great Sand Dunes NP & PRES,Intermountain,CO,2023,512219
