ParkName,Region,State,Year,RecreationVisits
Great Smoky Mountains NP,Southeast,TN,1979,8019788
Great Smoky Mountains NP,Southeast,TN,1980,8440953
Great Smoky Mountains NP,Southeast,TN,1981,8312884
Great Smoky Mountains NP,Southeast,TN,1982,8177869
Great Smoky Mountains NP,Southeast,TN,1983,8435475
Great Smoky Mountains NP,Southeast,TN,1984,8508390
Great Smoky Mountains NP,Southeast,TN,1985,9319290
Great Smoky Mountains NP,Southeast,TN,1986,9836306
Great Smoky Mountains NP,Southeast,TN,1987,10209841
Great Smoky Mountains NP,Southeast,TN,1988,8770781
Great Smoky Mountains NP,Southeast,TN,1989,8333553
Great Smoky Mountains NP,Southeast,TN,1990,8151769
Great Smoky Mountains NP,Southeast,TN,1991,8654459
Great Smoky Mountains NP,Southeast,TN,1992,8931690
Great Smoky Mountains NP,Southeast,TN,1993,9283848
Great Smoky Mountains NP,Southeast,TN,1994,8628174
Great Smoky Mountains NP,Southeast,TN,1995,9080420
Great Smoky Mountains NP,Southeast,TN,1996,9265667
Great Smoky Mountains NP,Southeast,TN,1997,9965075
Great Smoky Mountains NP,Southeast,TN,1998,9989395
Great Smoky Mountains NP,Southeast,TN,1999,10283598
Great Smoky Mountains NP,Southeast,TN,2000,10175812
Great Smoky Mountains NP,Southeast,TN,2001,9197697
Great Smoky Mountains NP,Southeast,TN,2002,9316420
Great Smoky Mountains NP,Southeast,TN,2003,9366845
Great Smoky Mountains NP,Southeast,TN,2004,9167046
Great Smoky Mountains NP,Southeast,TN,2005,9192477
Great Smoky Mountains NP,Southeast,TN,2006,9289215
Great Smoky Mountains NP,Southeast,TN,2007,9372253
Great Smoky Mountains NP,Southeast,TN,2008,9044010
Great Smoky Mountains NP,Southeast,TN,2009,9491437
Great Smoky Mountains NP,Southeast,TN,2010,9463538
Great Smoky Mountains NP,Southeast,TN,2011,9008830
Great Smoky Mountains NP,Southeast,TN,2012,9685829
Great Smoky Mountains NP,Southeast,TN,2013,9354695
Great Smoky Mountains NP,Southeast,TN,2014,10099276
Great Smoky Mountains NP,Southeast,TN,2015,10712674
Great Smoky Mountains NP,Southeast,TN,2016,11312786
Great Smoky Mountains NP,Southeast,TN,2017,11338893
Great Smoky Mountains NP,Southeast,TN,2018,11421200
Great Smoky Mountains NP,Southeast,TN,2019,12547743
Great Smoky Mountains NP,Southeast,TN,2020,12095720
Great Smoky Mountains NP,Southeast,TN,2021,14161548
Great Smoky Mountains NP,Southeast,TN,2022,12937633
Great Smoky Mountains NP,Southeast,TN,2023,13297647
