ParkName,Region,State,Year,RecreationVisits
Guadalupe Mountains NP,Intermountain,TX,1979,110478
Guadalupe Mountains NP,Intermountain,TX,1980,113825
Guadalupe Mountains NP,Intermountain,TX,1981,142641
Guadalupe Mountains NP,Intermountain,TX,1982,140620
Guadalupe Mountains NP,Intermountain,TX,1983,142736
Guadalupe Mountains NP,Intermountain,TX,1984,151862
Guadalupe Mountains NP,Intermountain,TX,1985,147758
Guadalupe Mountains NP,Intermountain,TX,1986,163313
Guadalupe Mountains NP,Intermountain,TX,1987,156344
Guadalupe Mountains NP,Intermountain,TX,1988,178910
Guadalupe Mountains NP,Intermountain,TX,1989,168872
Guadalupe Mountains NP,Intermountain,TX,1990,192890
Guadalupe Mountains NP,Intermountain,TX,1991,200398
Guadalupe Mountains NP,Intermountain,TX,1992,175120
Guadalupe Mountains NP,Intermountain,TX,1993,201054
Guadalupe Mountains NP,Intermountain,TX,1994,203520
Guadalupe Mountains NP,Intermountain,TX,1995,208972
Guadalupe Mountains NP,Intermountain,TX,1996,223485
Guadalupe Mountains NP,Intermountain,TX,1997,231980
Guadalupe Mountains NP,Intermountain,TX,1998,227924
Guadalupe Mountains NP,Intermountain,TX,1999,219591
Guadalupe Mountains NP,Intermountain,TX,2000,198762
Guadalupe Mountains NP,Intermountain,TX,2001,222307
Guadalupe Mountains NP,Intermountain,TX,2002,202911
Guadalupe Mountains NP,Intermountain,TX,2003,181357
Guadalupe Mountains NP,Intermountain,TX,2004,182351
Guadalupe Mountains NP,Intermountain,TX,2005,170383
Guadalupe Mountains NP,Intermountain,TX,2006,174157
Guadalupe Mountains NP,Intermountain,TX,2007,165110
Guadalupe Mountains NP,Intermountain,TX,2008,163709
Guadalupe Mountains NP,Intermountain,TX,2009,198882
Guadalupe Mountains NP,Intermountain,TX,2010,192210
Guadalupe Mountains NP,Intermountain,TX,2011,152546
Guadalupe Mountains NP,Intermountain,TX,2012,159360
Guadalupe Mountains NP,Intermountain,TX,2013,145670
Guadalupe Mountains NP,Intermountain,TX,2014,166868
Guadalupe Mountains NP,Intermountain,TX,2015,169535
Guadalupe Mountains NP,Intermountain,TX,2016,181839
Guadalupe Mountains NP,Intermountain,TX,2017,225257
Guadalupe Mountains NP,Intermountain,TX,2018,172347
Guadalupe Mountains NP,Intermountain,TX,2019,188833
Guadalupe Mountains NP,Intermountain,TX,2020,151256
Guadalupe Mountains NP,Intermountain,TX,2021,243291
Guadalupe Mountains NP,Intermountain,TX,2022,219987
Guadalupe Mountains NP,Intermountain,TX,2023,227340
