ParkName,Region,State,Year,RecreationVisits
Haleakala NP,Pacific West,HI,1979,673955
Haleakala NP,Pacific West,HI,1980,560238
Haleakala NP,Pacific West,HI,1981,631684
Haleakala NP,Pacific West,HI,1982,771762
Haleakala NP,Pacific West,HI,1983,864289
Haleakala NP,Pacific West,HI,1984,1003821
Haleakala NP,Pacific West,HI,1985,1194651
Haleakala NP,Pacific West,HI,1986,1281219
Haleakala NP,Pacific West,HI,1987,1333900
Haleakala NP,Pacific West,HI,1988,1314683
Haleakala NP,Pacific West,HI,1989,1367761
Haleakala NP,Pacific West,HI,1990,1260601
Haleakala NP,Pacific West,HI,1991,1228332
Haleakala NP,Pacific West,HI,1992,1183124
Haleakala NP,Pacific West,HI,1993,1317433
Haleakala NP,Pacific West,HI,1994,1527329
Haleakala NP,Pacific West,HI,1995,1594596
Haleakala NP,Pacific West,HI,1996,1553344
Haleakala NP,Pacific West,HI,1997,1673561
Haleakala NP,Pacific West,HI,1998,1476842
Haleakala NP,Pacific West,HI,1999,1963187
Haleakala NP,Pacific West,HI,2000,1620083
Haleakala NP,Pacific West,HI,2001,1410974
Haleakala NP,Pacific West,HI,2002,1521080
Haleakala NP,Pacific West,HI,2003,1444668
Haleakala NP,Pacific West,HI,2004,1455477
Haleakala NP,Pacific West,HI,2005,1474681
Haleakala NP,Pacific West,HI,2006,1426068
Haleakala NP,Pacific West,HI,2007,1322817
Haleakala NP,Pacific West,HI,2008,1185068
Haleakala NP,Pacific West,HI,2009,1109104
Haleakala NP,Pacific West,HI,2010,1105606
Haleakala NP,Pacific West,HI,2011,956989
Haleakala NP,Pacific West,HI,2012,1094668
Haleakala NP,Pacific West,HI,2013,785300
Haleakala NP,Pacific West,HI,2014,1142040
Haleakala NP,Pacific West,HI,2015,1216772
Haleakala NP,Pacific West,HI,2016,1263558
Haleakala NP,Pacific West,HI,2017,1112390
Haleakala NP,Pacific West,HI,2018,1044084
Haleakala NP,Pacific West,HI,2019,994394
Haleakala NP,Pacific West,HI,2020,319147
Haleakala NP,Pacific West,HI,2021,853181
Haleakala NP,Pacific West,HI,2022,1087616
Haleakala NP,Pacific West,HI,2023,791292
