ParkName,Region,State,Year,RecreationVisits
Hawaii Volcanoes NP,Pacific West,HI,1979,1632589
Hawaii Volcanoes NP,Pacific West,HI,1980,1692338
Hawaii Volcanoes NP,Pacific West,HI,1981,1931852
Hawaii Volcanoes NP,Pacific West,HI,1982,1995397
Hawaii Volcanoes NP,Pacific West,HI,1983,2247974
Hawaii Volcanoes NP,Pacific West,HI,1984,2008608
Hawaii Volcanoes NP,Pacific West,HI,1985,816652
Hawaii Volcanoes NP,Pacific West,HI,1986,898023
Hawaii Volcanoes NP,Pacific West,HI,1987,1006058
Hawaii Volcanoes NP,Pacific West,HI,1988,983007
Hawaii Volcanoes NP,Pacific West,HI,1989,1056188
Hawaii Volcanoes NP,Pacific West,HI,1990,1096816
Hawaii Volcanoes NP,Pacific West,HI,1991,1238653
Hawaii Volcanoes NP,Pacific West,HI,1992,1151661
Hawaii Volcanoes NP,Pacific West,HI,1993,1143741
Hawaii Volcanoes NP,Pacific West,HI,1994,1174289
Hawaii Volcanoes NP,Pacific West,HI,1995,1175028
Hawaii Volcanoes NP,Pacific West,HI,1996,1231557
Hawaii Volcanoes NP,Pacific West,HI,1997,1832087
Hawaii Volcanoes NP,Pacific West,HI,1998,1352373
Hawaii Volcanoes NP,Pacific West,HI,1999,1502855
Hawaii Volcanoes NP,Pacific West,HI,2000,1514636
Hawaii Volcanoes NP,Pacific West,HI,2001,1343286
Hawaii Volcanoes NP,Pacific West,HI,2002,1110998
Hawaii Volcanoes NP,Pacific West,HI,2003,1122524
Hawaii Volcanoes NP,Pacific West,HI,2004,1307391
Hawaii Volcanoes NP,Pacific West,HI,2005,1661196
Hawaii Volcanoes NP,Pacific West,HI,2006,1612246
Hawaii Volcanoes NP,Pacific West,HI,2007,1467779
Hawaii Volcanoes NP,Pacific West,HI,2008,1270538
Hawaii Volcanoes NP,Pacific West,HI,2009,1233105
Hawaii Volcanoes NP,Pacific West,HI,2010,1304667
Hawaii Volcanoes NP,Pacific West,HI,2011,1352123
Hawaii Volcanoes NP,Pacific West,HI,2012,1483928
Hawaii Volcanoes NP,Pacific West,HI,2013,1583209
Hawaii Volcanoes NP,Pacific West,HI,2014,1693005
Hawaii Volcanoes NP,Pacific West,HI,2015,1832660
Hawaii Volcanoes NP,Pacific West,HI,2016,1887580
Hawaii Volcanoes NP,Pacific West,HI,2017,2016702
Hawaii Volcanoes NP,Pacific West,HI,2018,1116891
Hawaii Volcanoes NP,Pacific West,HI,2019,1368376
Hawaii Volcanoes NP,Pacific West,HI,2020,589775
Hawaii Volcanoes NP,Pacific West,HI,2021,1262747
Hawaii Volcanoes NP,Pacific West,HI,2022,1580961
Hawaii Volcanoes NP,Pacific West,HI,2023,1620294
