ParkName,Region,State,Year,RecreationVisits
Hot Springs NP,Midwest,AR,1979,1118800
Hot Springs NP,Midwest,AR,1980,1160588
Hot Springs NP,Midwest,AR,1981,1177911
Hot Springs NP,Midwest,AR,1982,1015580
Hot Springs NP,Midwest,AR,1983,1160008
Hot Springs NP,Midwest,AR,1984,1071853
Hot Springs NP,Midwest,AR,1985,1112764
Hot Springs NP,Midwest,AR,1986,1175170
Hot Springs NP,Midwest,AR,1987,1101242
Hot Springs NP,Midwest,AR,1988,1185772
Hot Springs NP,Midwest,AR,1989,1272771
Hot Springs NP,Midwest,AR,1990,1123175
Hot Springs NP,Midwest,AR,1991,1203929
Hot Springs NP,Midwest,AR,1992,1504013
Hot Springs NP,Midwest,AR,1993,1477299
Hot Springs NP,Midwest,AR,1994,1618847
Hot Springs NP,Midwest,AR,1995,1617077
Hot Springs NP,Midwest,AR,1996,1538105
Hot Springs NP,Midwest,AR,1997,1509596
Hot Springs NP,Midwest,AR,1998,1495993
Hot Springs NP,Midwest,AR,1999,1384469
Hot Springs NP,Midwest,AR,2000,1338156
Hot Springs NP,Midwest,AR,2001,1296786
Hot Springs NP,Midwest,AR,2002,1440227
Hot Springs NP,Midwest,AR,2003,1561311
Hot Springs NP,Midwest,AR,2004,1418735
Hot Springs NP,Midwest,AR,2005,1340160
Hot Springs NP,Midwest,AR,2006,1273456
Hot Springs NP,Midwest,AR,2007,1300152
Hot Springs NP,Midwest,AR,2008,1238147
Hot Springs NP,Midwest,AR,2009,1284707
Hot Springs NP,Midwest,AR,2010,1311807
Hot Springs NP,Midwest,AR,2011,1396354
Hot Springs NP,Midwest,AR,2012,1302505
Hot Springs NP,Midwest,AR,2013,1325719
Hot Springs NP,Midwest,AR,2014,1424484
Hot Springs NP,Midwest,AR,2015,1418162
Hot Springs NP,Midwest,AR,2016,1544300
Hot Springs NP,Midwest,AR,2017,1561616
Hot Springs NP,Midwest,AR,2018,1506887
Hot Springs NP,Midwest,AR,2019,1467153
Hot Springs NP,Midwest,AR,2020,1348215
Hot Springs NP,Midwest,AR,2021,2162884
Hot Springs NP,Midwest,AR,2022,2646133
Hot Springs NP,Midwest,AR,2023,2502967
