ParkName,Region,State,Year,RecreationVisits
Indiana Dunes NP,Midwest,IN,1979,1606166
Indiana Dunes NP,Midwest,IN,1980,1222874
Indiana Dunes NP,Midwest,IN,1981,1023436
Indiana Dunes NP,Midwest,IN,1982,1066573
Indiana Dunes NP,Midwest,IN,1983,1510630
Indiana Dunes NP,Midwest,IN,1984,1560428
Indiana Dunes NP,Midwest,IN,1985,1800326
Indiana Dunes NP,Midwest,IN,1986,1676583
Indiana Dunes NP,Midwest,IN,1987,1576238
Indiana Dunes NP,Midwest,IN,1988,1885376
Indiana Dunes NP,Midwest,IN,1989,1791902
Indiana Dunes NP,Midwest,IN,1990,1919901
Indiana Dunes NP,Midwest,IN,1991,2058801
Indiana Dunes NP,Midwest,IN,1992,1973098
Indiana Dunes NP,Midwest,IN,1993,1763094
Indiana Dunes NP,Midwest,IN,1994,1699958
Indiana Dunes NP,Midwest,IN,1995,1696488
Indiana Dunes NP,Midwest,IN,1996,1526166
Indiana Dunes NP,Midwest,IN,1997,1483782
Indiana Dunes NP,Midwest,IN,1998,2108789
Indiana Dunes NP,Midwest,IN,1999,1748047
Indiana Dunes NP,Midwest,IN,2000,1820228
Indiana Dunes NP,Midwest,IN,2001,1735404
Indiana Dunes NP,Midwest,IN,2002,1989941
Indiana Dunes NP,Midwest,IN,2003,1953449
Indiana Dunes NP,Midwest,IN,2004,1810330
Indiana Dunes NP,Midwest,IN,2005,2127336
Indiana Dunes NP,Midwest,IN,2006,1938132
Indiana Dunes NP,Midwest,IN,2007,1972344
Indiana Dunes NP,Midwest,IN,2008,1833596
Indiana Dunes NP,Midwest,IN,2009,1944568
Indiana Dunes NP,Midwest,IN,2010,2150345
Indiana Dunes NP,Midwest,IN,2011,1840513
Indiana Dunes NP,Midwest,IN,2012,1889381
Indiana Dunes NP,Midwest,IN,2013,1681695
Indiana Dunes NP,Midwest,IN,2014,1553372
Indiana Dunes NP,Midwest,IN,2015,1640195
Indiana Dunes NP,Midwest,IN,2016,1698223
Indiana Dunes NP,Midwest,IN,2017,2158471
Indiana Dunes NP,Midwest,IN,2018,1756079
Indiana Dunes NP,Midwest,IN,2019,2134285
Indiana Dunes NP,Midwest,IN,2020,2293106
Indiana Dunes NP,Midwest,IN,2021,3177210
Indiana Dunes NP,Midwest,IN,2022,2834180
Indiana Dunes NP,Midwest,IN,2023,2765892
