ParkName,Region,State,Year,RecreationVisits
Isle Royale NP,Midwest,MI,1979,14782
Isle Royale NP,Midwest,MI,1980,14977
Isle Royale NP,Midwest,MI,1981,14558
Isle Royale NP,Midwest,MI,1982,13238
Isle Royale NP,Midwest,MI,1983,12928
Isle Royale NP,Midwest,MI,1984,11814
Isle Royale NP,Midwest,MI,1985,16775
Isle Royale NP,Midwest,MI,1986,26122
Isle Royale NP,Midwest,MI,1987,31760
Isle Royale NP,Midwest,MI,1988,26593
Isle Royale NP,Midwest,MI,1989,27133
Isle Royale NP,Midwest,MI,1990,23495
Isle Royale NP,Midwest,MI,1991,22004
Isle Royale NP,Midwest,MI,1992,22728
Isle Royale NP,Midwest,MI,1993,21983
Isle Royale NP,Midwest,MI,1994,24843
Isle Royale NP,Midwest,MI,1995,23470
Isle Royale NP,Midwest,MI,1996,23445
Isle Royale NP,Midwest,MI,1997,21381
Isle Royale NP,Midwest,MI,1998,23932
Isle Royale NP,Midwest,MI,1999,23493
Isle Royale NP,Midwest,MI,2000,21096
Isle Royale NP,Midwest,MI,2001,19431
Isle Royale NP,Midwest,MI,2002,19463
Isle Royale NP,Midwest,MI,2003,17800
Isle Royale NP,Midwest,MI,2004,17276
Isle Royale NP,Midwest,MI,2005,17398
Isle Royale NP,Midwest,MI,2006,17070
Isle Royale NP,Midwest,MI,2007,15973
Isle Royale NP,Midwest,MI,2008,14038
Isle Royale NP,Midwest,MI,2009,14653
Isle Royale NP,Midwest,MI,2010,15793
Isle Royale NP,Midwest,MI,2011,15892
Isle Royale NP,Midwest,MI,2012,16663
Isle Royale NP,Midwest,MI,2013,16274
Isle Royale NP,Midwest,MI,2014,14560
Isle Royale NP,Midwest,MI,2015,18684
Isle Royale NP,Midwest,MI,2016,24966
Isle Royale NP,Midwest,MI,2017,28196
Isle Royale NP,Midwest,MI,2018,25798
Isle Royale NP,Midwest,MI,2019,26410
Isle Royale NP,Midwest,MI,2020,6493
Isle Royale NP,Midwest,MI,2021,25844
Isle Royale NP,Midwest,MI,2022,25454
Isle Royale NP,Midwest,MI,2023,28965
