ParkName,Region,State,Year,RecreationVisits
Joshua Tree NP,Pacific West,CA,1979,590543
Joshua Tree NP,Pacific West,CA,1980,545357
Joshua Tree NP,Pacific West,CA,1981,612966
Joshua Tree NP,Pacific West,CA,1982,673201
Joshua Tree NP,Pacific West,CA,1983,671426
Joshua Tree NP,Pacific West,CA,1984,663798
Joshua Tree NP,Pacific West,CA,1985,641172
Joshua Tree NP,Pacific West,CA,1986,783224
Joshua Tree NP,Pacific West,CA,1987,830085
Joshua Tree NP,Pacific West,CA,1988,955246
Joshua Tree NP,Pacific West,CA,1989,990214
Joshua Tree NP,Pacific West,CA,1990,1022396
Joshua Tree NP,Pacific West,CA,1991,1145458
Joshua Tree NP,Pacific West,CA,1992,1220539
Joshua Tree NP,Pacific West,CA,1993,1252401
Joshua Tree NP,Pacific West,CA,1994,1184871
Joshua Tree NP,Pacific West,CA,1995,1235702
Joshua Tree NP,Pacific West,CA,1996,1095046
Joshua Tree NP,Pacific West,CA,1997,1226273
Joshua Tree NP,Pacific West,CA,1998,1410312
Joshua Tree NP,Pacific West,CA,1999,1316340
Joshua Tree NP,Pacific West,CA,2000,1233935
Joshua Tree NP,Pacific West,CA,2001,1280917
Joshua Tree NP,Pacific West,CA,2002,1178376
Joshua Tree NP,Pacific West,CA,2003,1283346
Joshua Tree NP,Pacific West,CA,2004,1243659
Joshua Tree NP,Pacific West,CA,2005,1375111
Joshua Tree NP,Pacific West,CA,2006,1256421
Joshua Tree NP,Pacific West,CA,2007,1298979
Joshua Tree NP,Pacific West,CA,2008,1392446
Joshua Tree NP,Pacific West,CA,2009,1304471
Joshua Tree NP,Pacific West,CA,2010,1434976
Joshua Tree NP,Pacific West,CA,2011,1396237
Joshua Tree NP,Pacific West,CA,2012,1396117
Joshua Tree NP,Pacific West,CA,2013,1383340
Joshua Tree NP,Pacific West,CA,2014,1589904
Joshua Tree NP,Pacific West,CA,2015,2025756
Joshua Tree NP,Pacific West,CA,2016,2505286
Joshua Tree NP,Pacific West,CA,2017,2853619
Joshua Tree NP,Pacific West,CA,2018,2942382
Joshua Tree NP,Pacific West,CA,2019,2988547
Joshua Tree NP,Pacific West,CA,2020,2399542
Joshua Tree NP,Pacific West,CA,2021,3064400
Joshua Tree NP,Pacific West,CA,2022,3058294
Joshua Tree NP,Pacific West,CA,2023,3270404
