ParkName,Region,State,Year,RecreationVisits
Katmai NP & PRES,Alaska,AK,1979,10659
Katmai NP & PRES,Alaska,AK,1980,11824
Katmai NP & PRES,Alaska,AK,1981,13115
Katmai NP & PRES,Alaska,AK,1982,14377
Katmai NP & PRES,Alaska,AK,1983,11182
Katmai NP & PRES,Alaska,AK,1984,20074
Katmai NP & PRES,Alaska,AK,1985,25142
Katmai NP & PRES,Alaska,AK,1986,41663
Katmai NP & PRES,Alaska,AK,1987,38212
Katmai NP & PRES,Alaska,AK,1988,45710
Katmai NP & PRES,Alaska,AK,1989,40247
Katmai NP & PRES,Alaska,AK,1990,40778
Katmai NP & PRES,Alaska,AK,1991,41417
Katmai NP & PRES,Alaska,AK,1992,46196
Katmai NP & PRES,Alaska,AK,1993,53421
Katmai NP & PRES,Alaska,AK,1994,55728
Katmai NP & PRES,Alaska,AK,1995,0
Katmai NP & PRES,Alaska,AK,1997,18802
Katmai NP & PRES,Alaska,AK,1998,45470
Katmai NP & PRES,Alaska,AK,1999,51399
Katmai NP & PRES,Alaska,AK,2000,71389
Katmai NP & PRES,Alaska,AK,2001,67038
Katmai NP & PRES,Alaska,AK,2002,59025
Katmai NP & PRES,Alaska,AK,2003,51589
Katmai NP & PRES,Alaska,AK,2004,56787
Katmai NP & PRES,Alaska,AK,2005,54274
Katmai NP & PRES,Alaska,AK,2006,68630
Katmai NP & PRES,Alaska,AK,2007,82634
Katmai NP & PRES,Alaska,AK,2008,7970
Katmai NP & PRES,Alaska,AK,2009,43035
Katmai NP & PRES,Alaska,AK,2010,55172
Katmai NP & PRES,Alaska,AK,2011,48939
Katmai NP & PRES,Alaska,AK,2012,39818
Katmai NP & PRES,Alaska,AK,2013,28966
Katmai NP & PRES,Alaska,AK,2014,30896
Katmai NP & PRES,Alaska,AK,2015,37818
Katmai NP & PRES,Alaska,AK,2016,37818
Katmai NP & PRES,Alaska,AK,2017,37818
Katmai NP & PRES,Alaska,AK,2018,37818
Katmai NP & PRES,Alaska,AK,2019,84167
Katmai NP & PRES,Alaska,AK,2020,51511
Katmai NP & PRES,Alaska,AK,2021,24764
Katmai NP & PRES,Alaska,AK,2022,33908
Katmai NP & PRES,Alaska,AK,2023,33763
