ParkName,Region,State,Year,RecreationVisits
Kenai Fjords NP,Alaska,AK,1982,16118
Kenai Fjords NP,Alaska,AK,1983,24048
Kenai Fjords NP,Alaska,AK,1984,30703
Kenai Fjords NP,Alaska,AK,1985,35758
Kenai Fjords NP,Alaska,AK,1986,54296
Kenai Fjords NP,Alaska,AK,1987,60428
Kenai Fjords NP,Alaska,AK,1988,59017
Kenai Fjords NP,Alaska,AK,1989,75557
Kenai Fjords NP,Alaska,AK,1990,66115
Kenai Fjords NP,Alaska,AK,1991,107041
Kenai Fjords NP,Alaska,AK,1992,108130
Kenai Fjords NP,Alaska,AK,1993,189712
Kenai Fjords NP,Alaska,AK,1994,209516
Kenai Fjords NP,Alaska,AK,1995,230657
Kenai Fjords NP,Alaska,AK,1996,274034
Kenai Fjords NP,Alaska,AK,1997,306164
Kenai Fjords NP,Alaska,AK,1998,263948
Kenai Fjords NP,Alaska,AK,1999,290673
Kenai Fjords NP,Alaska,AK,2000,254790
Kenai Fjords NP,Alaska,AK,2001,262353
Kenai Fjords NP,Alaska,AK,2002,251799
Kenai Fjords NP,Alaska,AK,2003,243719
Kenai Fjords NP,Alaska,AK,2004,244232
Kenai Fjords NP,Alaska,AK,2005,258297
Kenai Fjords NP,Alaska,AK,2006,251630
Kenai Fjords NP,Alaska,AK,2007,284604
Kenai Fjords NP,Alaska,AK,2008,272190
Kenai Fjords NP,Alaska,AK,2009,218358
Kenai Fjords NP,Alaska,AK,2010,297596
Kenai Fjords NP,Alaska,AK,2011,346852
Kenai Fjords NP,Alaska,AK,2012,281279
Kenai Fjords NP,Alaska,AK,2013,283502
Kenai Fjords NP,Alaska,AK,2014,270666
Kenai Fjords NP,Alaska,AK,2015,296697
Kenai Fjords NP,Alaska,AK,2016,346534
Kenai Fjords NP,Alaska,AK,2017,303598
Kenai Fjords NP,Alaska,AK,2018,321596
Kenai Fjords NP,Alaska,AK,2019,356601
Kenai Fjords NP,Alaska,AK,2020,115882
Kenai Fjords NP,Alaska,AK,2021,411782
Kenai Fjords NP,Alaska,AK,2022,389943
Kenai Fjords NP,Alaska,AK,2023,387525
