ParkName,Region,State,Year,RecreationVisits
Kings Canyon NP,Pacific West,CA,1979,804175
Kings Canyon NP,Pacific West,CA,1980,819065
Kings Canyon NP,Pacific West,CA,1981,776850
Kings Canyon NP,Pacific West,CA,1982,831044
Kings Canyon NP,Pacific West,CA,1983,765755
Kings Canyon NP,Pacific West,CA,1984,937262
Kings Canyon NP,Pacific West,CA,1985,874456
Kings Canyon NP,Pacific West,CA,1986,1028785
Kings Canyon NP,Pacific West,CA,1987,1081172
Kings Canyon NP,Pacific West,CA,1988,1007695
Kings Canyon NP,Pacific West,CA,1989,1037349
Kings Canyon NP,Pacific West,CA,1990,1062867
Kings Canyon NP,Pacific West,CA,1991,1071022
Kings Canyon NP,Pacific West,CA,1992,637446
Kings Canyon NP,Pacific West,CA,1993,636515
Kings Canyon NP,Pacific West,CA,1994,725930
Kings Canyon NP,Pacific West,CA,1995,832794
Kings Canyon NP,Pacific West,CA,1996,502749
Kings Canyon NP,Pacific West,CA,1997,484718
Kings Canyon NP,Pacific West,CA,1998,540212
Kings Canyon NP,Pacific West,CA,1999,559534
Kings Canyon NP,Pacific West,CA,2000,528987
Kings Canyon NP,Pacific West,CA,2001,541787
Kings Canyon NP,Pacific West,CA,2002,545420
Kings Canyon NP,Pacific West,CA,2003,555987
Kings Canyon NP,Pacific West,CA,2004,525035
Kings Canyon NP,Pacific West,CA,2005,594893
Kings Canyon NP,Pacific West,CA,2006,552766
Kings Canyon NP,Pacific West,CA,2007,580129
Kings Canyon NP,Pacific West,CA,2008,574870
Kings Canyon NP,Pacific West,CA,2009,609296
Kings Canyon NP,Pacific West,CA,2010,598205
Kings Canyon NP,Pacific West,CA,2011,566810
Kings Canyon NP,Pacific West,CA,2012,591033
Kings Canyon NP,Pacific West,CA,2013,567544
Kings Canyon NP,Pacific West,CA,2014,502268
Kings Canyon NP,Pacific West,CA,2015,468106
Kings Canyon NP,Pacific West,CA,2016,607479
Kings Canyon NP,Pacific West,CA,2017,692932
Kings Canyon NP,Pacific West,CA,2018,699023
Kings Canyon NP,Pacific West,CA,2019,632110
Kings Canyon NP,Pacific West,CA,2020,415077
Kings Canyon NP,Pacific West,CA,2021,562918
Kings Canyon NP,Pacific West,CA,2022,640986
Kings Canyon NP,Pacific West,CA,2023,643065
