ParkName,Region,State,Year,RecreationVisits
Kobuk Valley NP,Alaska,AK,1982,3775
Kobuk Valley NP,Alaska,AK,1983,2365
Kobuk Valley NP,Alaska,AK,1984,1075
Kobuk Valley NP,Alaska,AK,1985,1305
Kobuk Valley NP,Alaska,AK,1986,1085
Kobuk Valley NP,Alaska,AK,1987,230
Kobuk Valley NP,Alaska,AK,1988,2275
Kobuk Valley NP,Alaska,AK,1989,1970
Kobuk Valley NP,Alaska,AK,1990,2586
Kobuk Valley NP,Alaska,AK,1991,2795
Kobuk Valley NP,Alaska,AK,1992,2829
Kobuk Valley NP,Alaska,AK,1993,2816
Kobuk Valley NP,Alaska,AK,1994,2781
Kobuk Valley NP,Alaska,AK,1995,2781
Kobuk Valley NP,Alaska,AK,1996,2781
Kobuk Valley NP,Alaska,AK,1997,2781
Kobuk Valley NP,Alaska,AK,1998,5550
Kobuk Valley NP,Alaska,AK,1999,6309
Kobuk Valley NP,Alaska,AK,2000,2646
Kobuk Valley NP,Alaska,AK,2001,4217
Kobuk Valley NP,Alaska,AK,2002,4046
Kobuk Valley NP,Alaska,AK,2003,4006
Kobuk Valley NP,Alaska,AK,2004,4744
Kobuk Valley NP,Alaska,AK,2005,5037
Kobuk Valley NP,Alaska,AK,2006,3005
Kobuk Valley NP,Alaska,AK,2007,847
Kobuk Valley NP,Alaska,AK,2008,1565
Kobuk Valley NP,Alaska,AK,2009,1879
Kobuk Valley NP,Alaska,AK,2010,3164
Kobuk Valley NP,Alaska,AK,2011,11485
Kobuk Valley NP,Alaska,AK,2012,29550
Kobuk Valley NP,Alaska,AK,2013,16875
Kobuk Valley NP,Alaska,AK,2014,0
Kobuk Valley NP,Alaska,AK,2015,0
Kobuk Valley NP,Alaska,AK,2016,15500
Kobuk Valley NP,Alaska,AK,2017,15500
Kobuk Valley NP,Alaska,AK,2018,14937
Kobuk Valley NP,Alaska,AK,2019,15766
Kobuk Valley NP,Alaska,AK,2020,11185
Kobuk Valley NP,Alaska,AK,2021,11540
Kobuk Valley NP,Alaska,AK,2022,16925
Kobuk Valley NP,Alaska,AK,2023,17616
