ParkName,Region,State,Year,RecreationVisits
Lake Clark NP & PRES,Alaska,AK,1982,10440
Lake Clark NP & PRES,Alaska,AK,1983,12332
Lake Clark NP & PRES,Alaska,AK,1984,12505
Lake Clark NP & PRES,Alaska,AK,1985,12701
Lake Clark NP & PRES,Alaska,AK,1986,13611
Lake Clark NP & PRES,Alaska,AK,1987,16418
Lake Clark NP & PRES,Alaska,AK,1988,18863
Lake Clark NP & PRES,Alaska,AK,1989,14879
Lake Clark NP & PRES,Alaska,AK,1990,10196
Lake Clark NP & PRES,Alaska,AK,1991,4133
Lake Clark NP & PRES,Alaska,AK,1992,9233
Lake Clark NP & PRES,Alaska,AK,1993,12153
Lake Clark NP & PRES,Alaska,AK,1994,12143
Lake Clark NP & PRES,Alaska,AK,1995,12698
Lake Clark NP & PRES,Alaska,AK,1996,12727
Lake Clark NP & PRES,Alaska,AK,1997,9173
Lake Clark NP & PRES,Alaska,AK,1998,11335
Lake Clark NP & PRES,Alaska,AK,1999,6190
Lake Clark NP & PRES,Alaska,AK,2000,6493
Lake Clark NP & PRES,Alaska,AK,2001,4397
Lake Clark NP & PRES,Alaska,AK,2002,4325
Lake Clark NP & PRES,Alaska,AK,2003,4505
Lake Clark NP & PRES,Alaska,AK,2004,4906
Lake Clark NP & PRES,Alaska,AK,2005,5408
Lake Clark NP & PRES,Alaska,AK,2006,5320
Lake Clark NP & PRES,Alaska,AK,2007,5549
Lake Clark NP & PRES,Alaska,AK,2008,6802
Lake Clark NP & PRES,Alaska,AK,2009,9711
Lake Clark NP & PRES,Alaska,AK,2010,9931
Lake Clark NP & PRES,Alaska,AK,2011,5158
Lake Clark NP & PRES,Alaska,AK,2012,11639
Lake Clark NP & PRES,Alaska,AK,2013,13000
Lake Clark NP & PRES,Alaska,AK,2014,16100
Lake Clark NP & PRES,Alaska,AK,2015,17818
Lake Clark NP & PRES,Alaska,AK,2016,21102
Lake Clark NP & PRES,Alaska,AK,2017,22755
Lake Clark NP & PRES,Alaska,AK,2018,14479
Lake Clark NP & PRES,Alaska,AK,2019,17157
Lake Clark NP & PRES,Alaska,AK,2020,4948
Lake Clark NP & PRES,Alaska,AK,2021,18278
Lake Clark NP & PRES,Alaska,AK,2022,18187
Lake Clark NP & PRES,Alaska,AK,2023,16728
