ParkName,Region,State,Year,RecreationVisits
Lassen Volcanic NP,Pacific West,CA,1979,380014
Lassen Volcanic NP,Pacific West,CA,1980,394425
Lassen Volcanic NP,Pacific West,CA,1981,415045
Lassen Volcanic NP,Pacific West,CA,1982,414859
Lassen Volcanic NP,Pacific West,CA,1983,429867
Lassen Volcanic NP,Pacific West,CA,1984,463275
Lassen Volcanic NP,Pacific West,CA,1985,451497
Lassen Volcanic NP,Pacific West,CA,1986,439723
Lassen Volcanic NP,Pacific West,CA,1987,472431
Lassen Volcanic NP,Pacific West,CA,1988,495628
Lassen Volcanic NP,Pacific West,CA,1989,466115
Lassen Volcanic NP,Pacific West,CA,1990,460917
Lassen Volcanic NP,Pacific West,CA,1991,463179
Lassen Volcanic NP,Pacific West,CA,1992,468011
Lassen Volcanic NP,Pacific West,CA,1993,434264
Lassen Volcanic NP,Pacific West,CA,1994,385489
Lassen Volcanic NP,Pacific West,CA,1995,351001
Lassen Volcanic NP,Pacific West,CA,1996,351632
Lassen Volcanic NP,Pacific West,CA,1997,391816
Lassen Volcanic NP,Pacific West,CA,1998,318049
Lassen Volcanic NP,Pacific West,CA,1999,353756
Lassen Volcanic NP,Pacific West,CA,2000,374911
Lassen Volcanic NP,Pacific West,CA,2001,376695
Lassen Volcanic NP,Pacific West,CA,2002,388149
Lassen Volcanic NP,Pacific West,CA,2003,404384
Lassen Volcanic NP,Pacific West,CA,2004,379667
Lassen Volcanic NP,Pacific West,CA,2005,365535
Lassen Volcanic NP,Pacific West,CA,2006,388741
Lassen Volcanic NP,Pacific West,CA,2007,395057
Lassen Volcanic NP,Pacific West,CA,2008,377361
Lassen Volcanic NP,Pacific West,CA,2009,365639
Lassen Volcanic NP,Pacific West,CA,2010,384570
Lassen Volcanic NP,Pacific West,CA,2011,351269
Lassen Volcanic NP,Pacific West,CA,2012,407653
Lassen Volcanic NP,Pacific West,CA,2013,427409
Lassen Volcanic NP,Pacific West,CA,2014,432977
Lassen Volcanic NP,Pacific West,CA,2015,468092
Lassen Volcanic NP,Pacific West,CA,2016,536068
Lassen Volcanic NP,Pacific West,CA,2017,507256
Lassen Volcanic NP,Pacific West,CA,2018,499435
Lassen Volcanic NP,Pacific West,CA,2019,517039
Lassen Volcanic NP,Pacific West,CA,2020,542274
Lassen Volcanic NP,Pacific West,CA,2021,359635
Lassen Volcanic NP,Pacific West,CA,2022,446291
Lassen Volcanic NP,Pacific West,CA,2023,418978
