ParkName,Region,State,Year,RecreationVisits
Mammoth Cave NP,Southeast,KY,1979,1384910
Mammoth Cave NP,Southeast,KY,1980,1495787
Mammoth Cave NP,Southeast,KY,1981,1404317
Mammoth Cave NP,Southeast,KY,1982,1526676
Mammoth Cave NP,Southeast,KY,1983,1498503
Mammoth Cave NP,Southeast,KY,1984,1501450
Mammoth Cave NP,Southeast,KY,1985,1507939
Mammoth Cave NP,Southeast,KY,1986,1646673
Mammoth Cave NP,Southeast,KY,1987,1636340
Mammoth Cave NP,Southeast,KY,1988,1735610
Mammoth Cave NP,Southeast,KY,1989,1672840
Mammoth Cave NP,Southeast,KY,1990,1924538
Mammoth Cave NP,Southeast,KY,1991,2158195
Mammoth Cave NP,Southeast,KY,1992,2392858
Mammoth Cave NP,Southeast,KY,1993,2396234
Mammoth Cave NP,Southeast,KY,1994,2009935
Mammoth Cave NP,Southeast,KY,1995,1935709
Mammoth Cave NP,Southeast,KY,1996,1896829
Mammoth Cave NP,Southeast,KY,1997,1997658
Mammoth Cave NP,Southeast,KY,1998,2113992
Mammoth Cave NP,Southeast,KY,1999,1710983
Mammoth Cave NP,Southeast,KY,2000,1749268
Mammoth Cave NP,Southeast,KY,2001,1883580
Mammoth Cave NP,Southeast,KY,2002,1891307
Mammoth Cave NP,Southeast,KY,2003,1869137
Mammoth Cave NP,Southeast,KY,2004,1888267
Mammoth Cave NP,Southeast,KY,2005,1878006
Mammoth Cave NP,Southeast,KY,2006,597934
Mammoth Cave NP,Southeast,KY,2007,487305
Mammoth Cave NP,Southeast,KY,2008,446174
Mammoth Cave NP,Southeast,KY,2009,503856
Mammoth Cave NP,Southeast,KY,2010,497225
Mammoth Cave NP,Southeast,KY,2011,483319
Mammoth Cave NP,Southeast,KY,2012,508054
Mammoth Cave NP,Southeast,KY,2013,494541
Mammoth Cave NP,Southeast,KY,2014,522628
Mammoth Cave NP,Southeast,KY,2015,566895
Mammoth Cave NP,Southeast,KY,2016,586514
Mammoth Cave NP,Southeast,KY,2017,587853
Mammoth Cave NP,Southeast,KY,2018,533206
Mammoth Cave NP,Southeast,KY,2019,551590
Mammoth Cave NP,Southeast,KY,2020,290392
Mammoth Cave NP,Southeast,KY,2021,515774
Mammoth Cave NP,Southeast,KY,2022,663147
Mammoth Cave NP,Southeast,KY,2023,654450
