ParkName,Region,State,Year,RecreationVisits
Mesa Verde NP,Intermountain,CO,1979,473715
Mesa Verde NP,Intermountain,CO,1980,539257
Mesa Verde NP,Intermountain,CO,1981,588608
Mesa Verde NP,Intermountain,CO,1982,602968
Mesa Verde NP,Intermountain,CO,1983,604115
Mesa Verde NP,Intermountain,CO,1984,516865
Mesa Verde NP,Intermountain,CO,1985,656271
Mesa Verde NP,Intermountain,CO,1986,658888
Mesa Verde NP,Intermountain,CO,1987,728566
Mesa Verde NP,Intermountain,CO,1988,772183
Mesa Verde NP,Intermountain,CO,1989,600045
Mesa Verde NP,Intermountain,CO,1990,611375
Mesa Verde NP,Intermountain,CO,1991,678075
Mesa Verde NP,Intermountain,CO,1992,742080
Mesa Verde NP,Intermountain,CO,1993,666054
Mesa Verde NP,Intermountain,CO,1994,685031
Mesa Verde NP,Intermountain,CO,1995,663794
Mesa Verde NP,Intermountain,CO,1996,617360
Mesa Verde NP,Intermountain,CO,1997,627720
Mesa Verde NP,Intermountain,CO,1998,604556
Mesa Verde NP,Intermountain,CO,1999,635736
Mesa Verde NP,Intermountain,CO,2000,452287
Mesa Verde NP,Intermountain,CO,2001,513409
Mesa Verde NP,Intermountain,CO,2002,406385
Mesa Verde NP,Intermountain,CO,2003,438590
Mesa Verde NP,Intermountain,CO,2004,446811
Mesa Verde NP,Intermountain,CO,2005,498333
Mesa Verde NP,Intermountain,CO,2006,557248
Mesa Verde NP,Intermountain,CO,2007,541102
Mesa Verde NP,Intermountain,CO,2008,551446
Mesa Verde NP,Intermountain,CO,2009,550377
Mesa Verde NP,Intermountain,CO,2010,559712
Mesa Verde NP,Intermountain,CO,2011,572329
Mesa Verde NP,Intermountain,CO,2012,488860
Mesa Verde NP,Intermountain,CO,2013,460237
Mesa Verde NP,Intermountain,CO,2014,501563
Mesa Verde NP,Intermountain,CO,2015,547325
Mesa Verde NP,Intermountain,CO,2016,583527
Mesa Verde NP,Intermountain,CO,2017,613788
Mesa Verde NP,Intermountain,CO,2018,563420
Mesa Verde NP,Intermountain,CO,2019,556203
Mesa Verde NP,Intermountain,CO,2020,287477
Mesa Verde NP,Intermountain,CO,2021,548477
Mesa Verde NP,Intermountain,CO,2022,499790
Mesa Verde NP,Intermountain,CO,2023,505194
