ParkName,Region,State,Year,RecreationVisits
Mount Rainier NP,Pacific West,WA,1979,1516703
Mount Rainier NP,Pacific West,WA,1980,1268256
Mount Rainier NP,Pacific West,WA,1981,1233671
Mount Rainier NP,Pacific West,WA,1982,1007300
Mount Rainier NP,Pacific West,WA,1983,1106306
Mount Rainier NP,Pacific West,WA,1984,1152411
Mount Rainier NP,Pacific West,WA,1985,1165640
Mount Rainier NP,Pacific West,WA,1986,1298457
Mount Rainier NP,Pacific West,WA,1987,1292027
Mount Rainier NP,Pacific West,WA,1988,1255618
Mount Rainier NP,Pacific West,WA,1989,1354302
Mount Rainier NP,Pacific West,WA,1990,1327101
Mount Rainier NP,Pacific West,WA,1991,1549412
Mount Rainier NP,Pacific West,WA,1992,1522057
Mount Rainier NP,Pacific West,WA,1993,1365213
Mount Rainier NP,Pacific West,WA,1994,1426244
Mount Rainier NP,Pacific West,WA,1995,1438227
Mount Rainier NP,Pacific West,WA,1996,1338961
Mount Rainier NP,Pacific West,WA,1997,1315773
Mount Rainier NP,Pacific West,WA,1998,1353793
Mount Rainier NP,Pacific West,WA,1999,1291397
Mount Rainier NP,Pacific West,WA,2000,1344833
Mount Rainier NP,Pacific West,WA,2001,1301103
Mount Rainier NP,Pacific West,WA,2002,1310390
Mount Rainier NP,Pacific West,WA,2003,1262351
Mount Rainier NP,Pacific West,WA,2004,1217750
Mount Rainier NP,Pacific West,WA,2005,1173897
Mount Rainier NP,Pacific West,WA,2006,1113601
Mount Rainier NP,Pacific West,WA,2007,1047685
Mount Rainier NP,Pacific West,WA,2008,1163227
Mount Rainier NP,Pacific West,WA,2009,1151654
Mount Rainier NP,Pacific West,WA,2010,1191754
Mount Rainier NP,Pacific West,WA,2011,1038229
Mount Rainier NP,Pacific West,WA,2012,1049178
Mount Rainier NP,Pacific West,WA,2013,1148552
Mount Rainier NP,Pacific West,WA,2014,1264259
Mount Rainier NP,Pacific West,WA,2015,1237231
Mount Rainier NP,Pacific West,WA,2016,1356913
Mount Rainier NP,Pacific West,WA,2017,1415867
Mount Rainier NP,Pacific West,WA,2018,1518491
Mount Rainier NP,Pacific West,WA,2019,1501621
Mount Rainier NP,Pacific West,WA,2020,1160754
Mount Rainier NP,Pacific West,WA,2021,1670063
Mount Rainier NP,Pacific West,WA,2022,1622395
Mount Rainier NP,Pacific West,WA,2023,1674294
