ParkName,Region,State,Year,RecreationVisits
National Park of American Samoa,Pacific West,AS,2002,1938
National Park of American Samoa,Pacific West,AS,2003,0
National Park of American Samoa,Pacific West,AS,2006,1239
National Park of American Samoa,Pacific West,AS,2007,6774
National Park of American Samoa,Pacific West,AS,2008,3683
National Park of American Samoa,Pacific West,AS,2009,3242
National Park of American Samoa,Pacific West,AS,2010,3006
National Park of American Samoa,Pacific West,AS,2011,8716
National Park of American Samoa,Pacific West,AS,2012,10440
National Park of American Samoa,Pacific West,AS,2013,17919
National Park of American Samoa,Pacific West,AS,2014,13953
National Park of American Samoa,Pacific West,AS,2015,13892
National Park of American Samoa,Pacific West,AS,2016,28892
National Park of American Samoa,Pacific West,AS,2017,69468
National Park of American Samoa,Pacific West,AS,2018,28626
National Park of American Samoa,Pacific West,AS,2019,60006
National Park of American Samoa,Pacific West,AS,2020,4819
National Park of American Samoa,Pacific West,AS,2021,8495
National Park of American Samoa,Pacific West,AS,2022,1887
National Park of American Samoa,Pacific West,AS,2023,12135
