ParkName,Region,State,Year,RecreationVisits
New River Gorge NP & PRES,Northeast,WV,1984,231295
New River Gorge NP & PRES,Northeast,WV,1985,263021
New River Gorge NP & PRES,Northeast,WV,1986,394079
New River Gorge NP & PRES,Northeast,WV,1987,436791
New River Gorge NP & PRES,Northeast,WV,1988,399722
New River Gorge NP & PRES,Northeast,WV,1989,411195
New River Gorge NP & PRES,Northeast,WV,1990,378035
New River Gorge NP & PRES,Northeast,WV,1991,772172
New River Gorge NP & PRES,Northeast,WV,1992,940310
New River Gorge NP & PRES,Northeast,WV,1993,1005598
New River Gorge NP & PRES,Northeast,WV,1994,1079994
New River Gorge NP & PRES,Northeast,WV,1995,1177238
New River Gorge NP & PRES,Northeast,WV,1996,1237637
New River Gorge NP & PRES,Northeast,WV,1997,1228242
New River Gorge NP & PRES,Northeast,WV,1998,1197649
New River Gorge NP & PRES,Northeast,WV,1999,1186501
New River Gorge NP & PRES,Northeast,WV,2000,1132531
New River Gorge NP & PRES,Northeast,WV,2001,1231529
New River Gorge NP & PRES,Northeast,WV,2002,1215875
New River Gorge NP & PRES,Northeast,WV,2003,1111164
New River Gorge NP & PRES,Northeast,WV,2004,1151782
New River Gorge NP & PRES,Northeast,WV,2005,1045814
New River Gorge NP & PRES,Northeast,WV,2006,1124688
New River Gorge NP & PRES,Northeast,WV,2007,1178012
New River Gorge NP & PRES,Northeast,WV,2008,1212854
New River Gorge NP & PRES,Northeast,WV,2009,1144318
New River Gorge NP & PRES,Northeast,WV,2010,1151213
New River Gorge NP & PRES,Northeast,WV,2011,1071088
New River Gorge NP & PRES,Northeast,WV,2012,1128195
New River Gorge NP & PRES,Northeast,WV,2013,1071823
New River Gorge NP & PRES,Northeast,WV,2014,1124799
New River Gorge NP & PRES,Northeast,WV,2015,1178753
New River Gorge NP & PRES,Northeast,WV,2016,1197931
New River Gorge NP & PRES,Northeast,WV,2017,1168658
New River Gorge NP & PRES,Northeast,WV,2018,1232627
New River Gorge NP & PRES,Northeast,WV,2019,1195721
New River Gorge NP & PRES,Northeast,WV,2020,1054374
New River Gorge NP & PRES,Northeast,WV,2021,1682720
New River Gorge NP & PRES,Northeast,WV,2022,1593523
New River Gorge NP & PRES,Northeast,WV,2023,1707223
