ParkName,Region,State,Year,RecreationVisits
North Cascades NP,Pacific West,WA,1979,742997
North Cascades NP,Pacific West,WA,1980,796079
North Cascades NP,Pacific West,WA,1981,829026
North Cascades NP,Pacific West,WA,1982,857016
North Cascades NP,Pacific West,WA,1983,858041
North Cascades NP,Pacific West,WA,1984,637836
North Cascades NP,Pacific West,WA,1985,629234
North Cascades NP,Pacific West,WA,1986,683056
North Cascades NP,Pacific West,WA,1987,651606
North Cascades NP,Pacific West,WA,1988,605967
North Cascades NP,Pacific West,WA,1989,391433
North Cascades NP,Pacific West,WA,1990,456444
North Cascades NP,Pacific West,WA,1991,22796
North Cascades NP,Pacific West,WA,1992,20295
North Cascades NP,Pacific West,WA,1993,21378
North Cascades NP,Pacific West,WA,1994,19323
North Cascades NP,Pacific West,WA,1995,65984
North Cascades NP,Pacific West,WA,1996,27910
North Cascades NP,Pacific West,WA,1997,27203
North Cascades NP,Pacific West,WA,1998,32753
North Cascades NP,Pacific West,WA,1999,21488
North Cascades NP,Pacific West,WA,2000,25704
North Cascades NP,Pacific West,WA,2001,27739
North Cascades NP,Pacific West,WA,2002,20691
North Cascades NP,Pacific West,WA,2003,20724
North Cascades NP,Pacific West,WA,2004,16912
North Cascades NP,Pacific West,WA,2005,18686
North Cascades NP,Pacific West,WA,2006,19167
North Cascades NP,Pacific West,WA,2007,19534
North Cascades NP,Pacific West,WA,2008,18725
North Cascades NP,Pacific West,WA,2009,26972
North Cascades NP,Pacific West,WA,2010,24659
North Cascades NP,Pacific West,WA,2011,19208
North Cascades NP,Pacific West,WA,2012,26935
North Cascades NP,Pacific West,WA,2013,21623
North Cascades NP,Pacific West,WA,2014,23865
North Cascades NP,Pacific West,WA,2015,20677
North Cascades NP,Pacific West,WA,2016,28646
North Cascades NP,Pacific West,WA,2017,30326
North Cascades NP,Pacific West,WA,2018,30085
North Cascades NP,Pacific West,WA,2019,38208
North Cascades NP,Pacific West,WA,2020,30885
North Cascades NP,Pacific West,WA,2021,17855
North Cascades NP,Pacific West,WA,2022,30154
North Cascades NP,Pacific West,WA,2023,40351
