ParkName,Region,State,Year,RecreationVisits
Olympic NP,Pacific West,WA,1979,2078843
Olympic NP,Pacific West,WA,1980,2032418
Olympic NP,Pacific West,WA,1981,2306032
Olympic NP,Pacific West,WA,1982,2478739
Olympic NP,Pacific West,WA,1983,2410722
Olympic NP,Pacific West,WA,1984,2759011
Olympic NP,Pacific West,WA,1985,2532145
Olympic NP,Pacific West,WA,1986,2940034
Olympic NP,Pacific West,WA,1987,2822850
Olympic NP,Pacific West,WA,1988,2959122
Olympic NP,Pacific West,WA,1989,2737611
Olympic NP,Pacific West,WA,1990,2794903
Olympic NP,Pacific West,WA,1991,2759673
Olympic NP,Pacific West,WA,1992,3030195
Olympic NP,Pacific West,WA,1993,2679598
Olympic NP,Pacific West,WA,1994,3381573
Olympic NP,Pacific West,WA,1995,3658615
Olympic NP,Pacific West,WA,1996,3348723
Olympic NP,Pacific West,WA,1997,3846709
Olympic NP,Pacific West,WA,1998,3577007
Olympic NP,Pacific West,WA,1999,3364266
Olympic NP,Pacific West,WA,2000,3327722
Olympic NP,Pacific West,WA,2001,3416069
Olympic NP,Pacific West,WA,2002,3691310
Olympic NP,Pacific West,WA,2003,3225327
Olympic NP,Pacific West,WA,2004,3073722
Olympic NP,Pacific West,WA,2005,3142774
Olympic NP,Pacific West,WA,2006,2749197
Olympic NP,Pacific West,WA,2007,2988686
Olympic NP,Pacific West,WA,2008,3081451
Olympic NP,Pacific West,WA,2009,3276459
Olympic NP,Pacific West,WA,2010,2844563
Olympic NP,Pacific West,WA,2011,2966502
Olympic NP,Pacific West,WA,2012,2824908
Olympic NP,Pacific West,WA,2013,3085340
Olympic NP,Pacific West,WA,2014,3243872
Olympic NP,Pacific West,WA,2015,3263761
Olympic NP,Pacific West,WA,2016,3390221
Olympic NP,Pacific West,WA,2017,3401996
Olympic NP,Pacific West,WA,2018,3104455
Olympic NP,Pacific West,WA,2019,3245806
Olympic NP,Pacific West,WA,2020,2499177
Olympic NP,Pacific West,WA,2021,2718925
Olympic NP,Pacific West,WA,2022,2432972
Olympic NP,Pacific West,WA,2023,2947503
