ParkName,Region,State,Year,RecreationVisits
Petrified Forest NP,Intermountain,AZ,1979,671583
Petrified Forest NP,Intermountain,AZ,1980,683121
Petrified Forest NP,Intermountain,AZ,1981,747832
Petrified Forest NP,Intermountain,AZ,1982,710619
Petrified Forest NP,Intermountain,AZ,1983,708512
Petrified Forest NP,Intermountain,AZ,1984,714761
Petrified Forest NP,Intermountain,AZ,1985,736659
Petrified Forest NP,Intermountain,AZ,1986,761257
Petrified Forest NP,Intermountain,AZ,1987,758082
Petrified Forest NP,Intermountain,AZ,1988,857031
Petrified Forest NP,Intermountain,AZ,1989,824141
Petrified Forest NP,Intermountain,AZ,1990,844592
Petrified Forest NP,Intermountain,AZ,1991,874521
Petrified Forest NP,Intermountain,AZ,1992,930031
Petrified Forest NP,Intermountain,AZ,1993,936429
Petrified Forest NP,Intermountain,AZ,1994,922927
Petrified Forest NP,Intermountain,AZ,1995,935065
Petrified Forest NP,Intermountain,AZ,1996,829495
Petrified Forest NP,Intermountain,AZ,1997,823266
Petrified Forest NP,Intermountain,AZ,1998,816506
Petrified Forest NP,Intermountain,AZ,1999,666978
Petrified Forest NP,Intermountain,AZ,2000,605192
Petrified Forest NP,Intermountain,AZ,2001,583904
Petrified Forest NP,Intermountain,AZ,2002,571586
Petrified Forest NP,Intermountain,AZ,2003,586245
Petrified Forest NP,Intermountain,AZ,2004,580000
Petrified Forest NP,Intermountain,AZ,2005,598378
Petrified Forest NP,Intermountain,AZ,2006,581681
Petrified Forest NP,Intermountain,AZ,2007,563590
Petrified Forest NP,Intermountain,AZ,2008,543714
Petrified Forest NP,Intermountain,AZ,2009,631613
Petrified Forest NP,Intermountain,AZ,2010,664725
Petrified Forest NP,Intermountain,AZ,2011,614054
Petrified Forest NP,Intermountain,AZ,2012,664857
Petrified Forest NP,Intermountain,AZ,2013,644648
Petrified Forest NP,Intermountain,AZ,2014,836799
Petrified Forest NP,Intermountain,AZ,2015,793225
Petrified Forest NP,Intermountain,AZ,2016,643274
Petrified Forest NP,Intermountain,AZ,2017,627757
Petrified Forest NP,Intermountain,AZ,2018,644922
Petrified Forest NP,Intermountain,AZ,2019,643588
Petrified Forest NP,Intermountain,AZ,2020,384483
Petrified Forest NP,Intermountain,AZ,2021,590334
Petrified Forest NP,Intermountain,AZ,2022,505209
Petrified Forest NP,Intermountain,AZ,2023,520491
