ParkName,Region,State,Year,RecreationVisits
Pinnacles NP,Pacific West,CA,1979,153717
Pinnacles NP,Pacific West,CA,1980,163626
Pinnacles NP,Pacific West,CA,1981,155205
Pinnacles NP,Pacific West,CA,1982,171026
Pinnacles NP,Pacific West,CA,1983,170631
Pinnacles NP,Pacific West,CA,1984,166258
Pinnacles NP,Pacific West,CA,1985,191578
Pinnacles NP,Pacific West,CA,1986,198236
Pinnacles NP,Pacific West,CA,1987,204705
Pinnacles NP,Pacific West,CA,1988,212094
Pinnacles NP,Pacific West,CA,1989,218601
Pinnacles NP,Pacific West,CA,1990,214268
Pinnacles NP,Pacific West,CA,1991,192610
Pinnacles NP,Pacific West,CA,1992,191683
Pinnacles NP,Pacific West,CA,1993,194757
Pinnacles NP,Pacific West,CA,1994,172642
Pinnacles NP,Pacific West,CA,1995,177527
Pinnacles NP,Pacific West,CA,1996,164465
Pinnacles NP,Pacific West,CA,1997,171971
Pinnacles NP,Pacific West,CA,1998,94639
Pinnacles NP,Pacific West,CA,1999,164854
Pinnacles NP,Pacific West,CA,2000,162110
Pinnacles NP,Pacific West,CA,2001,178243
Pinnacles NP,Pacific West,CA,2002,162266
Pinnacles NP,Pacific West,CA,2003,162791
Pinnacles NP,Pacific West,CA,2004,157397
Pinnacles NP,Pacific West,CA,2005,170994
Pinnacles NP,Pacific West,CA,2006,158824
Pinnacles NP,Pacific West,CA,2007,161019
Pinnacles NP,Pacific West,CA,2008,166988
Pinnacles NP,Pacific West,CA,2009,171112
Pinnacles NP,Pacific West,CA,2010,246575
Pinnacles NP,Pacific West,CA,2011,393219
Pinnacles NP,Pacific West,CA,2012,224476
Pinnacles NP,Pacific West,CA,2013,237677
Pinnacles NP,Pacific West,CA,2014,196635
Pinnacles NP,Pacific West,CA,2015,206533
Pinnacles NP,Pacific West,CA,2016,215555
Pinnacles NP,Pacific West,CA,2017,233334
Pinnacles NP,Pacific West,CA,2018,222152
Pinnacles NP,Pacific West,CA,2019,177224
Pinnacles NP,Pacific West,CA,2020,165740
Pinnacles NP,Pacific West,CA,2021,348857
Pinnacles NP,Pacific West,CA,2022,275023
Pinnacles NP,Pacific West,CA,2023,341220
