ParkName,Region,State,Year,RecreationVisits
Redwood NP,Pacific West,CA,1979,413917
Redwood NP,Pacific West,CA,1980,471710
Redwood NP,Pacific West,CA,1981,549461
Redwood NP,Pacific West,CA,1982,467126
Redwood NP,Pacific West,CA,1983,473711
Redwood NP,Pacific West,CA,1984,467155
Redwood NP,Pacific West,CA,1985,505791
Redwood NP,Pacific West,CA,1986,567849
Redwood NP,Pacific West,CA,1987,610897
Redwood NP,Pacific West,CA,1988,677135
Redwood NP,Pacific West,CA,1989,654115
Redwood NP,Pacific West,CA,1990,348458
Redwood NP,Pacific West,CA,1991,366280
Redwood NP,Pacific West,CA,1992,387781
Redwood NP,Pacific West,CA,1993,421027
Redwood NP,Pacific West,CA,1994,475033
Redwood NP,Pacific West,CA,1995,552464
Redwood NP,Pacific West,CA,1996,426938
Redwood NP,Pacific West,CA,1997,382488
Redwood NP,Pacific West,CA,1998,383188
Redwood NP,Pacific West,CA,1999,369726
Redwood NP,Pacific West,CA,2000,383253
Redwood NP,Pacific West,CA,2001,388352
Redwood NP,Pacific West,CA,2002,404789
Redwood NP,Pacific West,CA,2003,408126
Redwood NP,Pacific West,CA,2004,392029
Redwood NP,Pacific West,CA,2005,394144
Redwood NP,Pacific West,CA,2006,383780
Redwood NP,Pacific West,CA,2007,385171
Redwood NP,Pacific West,CA,2008,396899
Redwood NP,Pacific West,CA,2009,444426
Redwood NP,Pacific West,CA,2010,418820
Redwood NP,Pacific West,CA,2011,380167
Redwood NP,Pacific West,CA,2012,352517
Redwood NP,Pacific West,CA,2013,393364
Redwood NP,Pacific West,CA,2014,429166
Redwood NP,Pacific West,CA,2015,527143
Redwood NP,Pacific West,CA,2016,536297
Redwood NP,Pacific West,CA,2017,445000
Redwood NP,Pacific West,CA,2018,482536
Redwood NP,Pacific West,CA,2019,504722
Redwood NP,Pacific West,CA,2020,265177
Redwood NP,Pacific West,CA,2021,435879
Redwood NP,Pacific West,CA,2022,458400
Redwood NP,Pacific West,CA,2023,409105
