ParkName,Region,State,Year,RecreationVisits
Rocky Mountain NP,Intermountain,CO,1979,2568530
Rocky Mountain NP,Intermountain,CO,1980,2641937
Rocky Mountain NP,Intermountain,CO,1981,2911242
Rocky Mountain NP,Intermountain,CO,1982,2564116
Rocky Mountain NP,Intermountain,CO,1983,2599006
Rocky Mountain NP,Intermountain,CO,1984,2231448
Rocky Mountain NP,Intermountain,CO,1985,2248854
Rocky Mountain NP,Intermountain,CO,1986,2408234
Rocky Mountain NP,Intermountain,CO,1987,2531864
Rocky Mountain NP,Intermountain,CO,1988,2544211
Rocky Mountain NP,Intermountain,CO,1989,2502915
Rocky Mountain NP,Intermountain,CO,1990,2647323
Rocky Mountain NP,Intermountain,CO,1991,2751781
Rocky Mountain NP,Intermountain,CO,1992,2788868
Rocky Mountain NP,Intermountain,CO,1993,2780342
Rocky Mountain NP,Intermountain,CO,1994,2968450
Rocky Mountain NP,Intermountain,CO,1995,2878169
Rocky Mountain NP,Intermountain,CO,1996,2923755
Rocky Mountain NP,Intermountain,CO,1997,2965354
Rocky Mountain NP,Intermountain,CO,1998,3035422
Rocky Mountain NP,Intermountain,CO,1999,3186323
Rocky Mountain NP,Intermountain,CO,2000,3185392
Rocky Mountain NP,Intermountain,CO,2001,3139685
Rocky Mountain NP,Intermountain,CO,2002,2988475
Rocky Mountain NP,Intermountain,CO,2003,3067256
Rocky Mountain NP,Intermountain,CO,2004,2781899
Rocky Mountain NP,Intermountain,CO,2005,2798368
Rocky Mountain NP,Intermountain,CO,2006,2743676
Rocky Mountain NP,Intermountain,CO,2007,2895383
Rocky Mountain NP,Intermountain,CO,2008,2757390
Rocky Mountain NP,Intermountain,CO,2009,2822325
Rocky Mountain NP,Intermountain,CO,2010,2955821
Rocky Mountain NP,Intermountain,CO,2011,3176941
Rocky Mountain NP,Intermountain,CO,2012,3229617
Rocky Mountain NP,Intermountain,CO,2013,2991141
Rocky Mountain NP,Intermountain,CO,2014,3434751
Rocky Mountain NP,Intermountain,CO,2015,4155916
Rocky Mountain NP,Intermountain,CO,2016,4517585
Rocky Mountain NP,Intermountain,CO,2017,4437215
Rocky Mountain NP,Intermountain,CO,2018,4590493
Rocky Mountain NP,Intermountain,CO,2019,4670053
Rocky Mountain NP,Intermountain,CO,2020,3305199
Rocky Mountain NP,Intermountain,CO,2021,4434848
Rocky Mountain NP,Intermountain,CO,2022,4300424
Rocky Mountain NP,Intermountain,CO,2023,4115837
