ParkName,Region,State,Year,RecreationVisits
Saguaro NP,Intermountain,AZ,1979,566486
Saguaro NP,Intermountain,AZ,1980,611317
Saguaro NP,Intermountain,AZ,1981,470598
Saguaro NP,Intermountain,AZ,1982,566807
Saguaro NP,Intermountain,AZ,1983,634688
Saguaro NP,Intermountain,AZ,1984,699292
Saguaro NP,Intermountain,AZ,1985,636711
Saguaro NP,Intermountain,AZ,1986,613651
Saguaro NP,Intermountain,AZ,1987,689933
Saguaro NP,Intermountain,AZ,1988,675397
Saguaro NP,Intermountain,AZ,1989,706191
Saguaro NP,Intermountain,AZ,1990,702328
Saguaro NP,Intermountain,AZ,1991,679034
Saguaro NP,Intermountain,AZ,1992,810059
Saguaro NP,Intermountain,AZ,1993,828267
Saguaro NP,Intermountain,AZ,1994,768685
Saguaro NP,Intermountain,AZ,1995,732813
Saguaro NP,Intermountain,AZ,1996,671643
Saguaro NP,Intermountain,AZ,1997,739410
Saguaro NP,Intermountain,AZ,1998,716160
Saguaro NP,Intermountain,AZ,1999,749014
Saguaro NP,Intermountain,AZ,2000,765195
Saguaro NP,Intermountain,AZ,2001,725874
Saguaro NP,Intermountain,AZ,2002,615045
Saguaro NP,Intermountain,AZ,2003,643697
Saguaro NP,Intermountain,AZ,2004,651464
Saguaro NP,Intermountain,AZ,2005,727208
Saguaro NP,Intermountain,AZ,2006,619983
Saguaro NP,Intermountain,AZ,2007,658477
Saguaro NP,Intermountain,AZ,2008,699137
Saguaro NP,Intermountain,AZ,2009,665234
Saguaro NP,Intermountain,AZ,2010,717614
Saguaro NP,Intermountain,AZ,2011,610045
Saguaro NP,Intermountain,AZ,2012,634286
Saguaro NP,Intermountain,AZ,2013,678261
Saguaro NP,Intermountain,AZ,2014,673572
Saguaro NP,Intermountain,AZ,2015,753446
Saguaro NP,Intermountain,AZ,2016,820426
Saguaro NP,Intermountain,AZ,2017,964760
Saguaro NP,Intermountain,AZ,2018,957405
Saguaro NP,Intermountain,AZ,2019,1020226
Saguaro NP,Intermountain,AZ,2020,762226
Saguaro NP,Intermountain,AZ,2021,1079786
Saguaro NP,Intermountain,AZ,2022,908194
Saguaro NP,Intermountain,AZ,2023,1010906
