ParkName,Region,State,Year,RecreationVisits
Sequoia NP,Pacific West,CA,1979,799576
Sequoia NP,Pacific West,CA,1980,862397
Sequoia NP,Pacific West,CA,1981,1083002
Sequoia NP,Pacific West,CA,1982,1020500
Sequoia NP,Pacific West,CA,1983,854233
Sequoia NP,Pacific West,CA,1984,979632
Sequoia NP,Pacific West,CA,1985,939468
Sequoia NP,Pacific West,CA,1986,1056527
Sequoia NP,Pacific West,CA,1987,1139389
Sequoia NP,Pacific West,CA,1988,1031129
Sequoia NP,Pacific West,CA,1989,1056020
Sequoia NP,Pacific West,CA,1990,1063538
Sequoia NP,Pacific West,CA,1991,1120278
Sequoia NP,Pacific West,CA,1992,961095
Sequoia NP,Pacific West,CA,1993,1066552
Sequoia NP,Pacific West,CA,1994,1034133
Sequoia NP,Pacific West,CA,1995,844582
Sequoia NP,Pacific West,CA,1996,838060
Sequoia NP,Pacific West,CA,1997,1008931
Sequoia NP,Pacific West,CA,1998,861303
Sequoia NP,Pacific West,CA,1999,873229
Sequoia NP,Pacific West,CA,2000,838947
Sequoia NP,Pacific West,CA,2001,870327
Sequoia NP,Pacific West,CA,2002,920292
Sequoia NP,Pacific West,CA,2003,979297
Sequoia NP,Pacific West,CA,2004,1000177
Sequoia NP,Pacific West,CA,2005,1004843
Sequoia NP,Pacific West,CA,2006,954507
Sequoia NP,Pacific West,CA,2007,979537
Sequoia NP,Pacific West,CA,2008,930011
Sequoia NP,Pacific West,CA,2009,965170
Sequoia NP,Pacific West,CA,2010,1002979
Sequoia NP,Pacific West,CA,2011,1006583
Sequoia NP,Pacific West,CA,2012,1106584
Sequoia NP,Pacific West,CA,2013,909274
Sequoia NP,Pacific West,CA,2014,1039137
Sequoia NP,Pacific West,CA,2015,1097464
Sequoia NP,Pacific West,CA,2016,1254688
Sequoia NP,Pacific West,CA,2017,1291256
Sequoia NP,Pacific West,CA,2018,1229594
Sequoia NP,Pacific West,CA,2019,1246053
Sequoia NP,Pacific West,CA,2020,796086
Sequoia NP,Pacific West,CA,2021,1059548
Sequoia NP,Pacific West,CA,2022,1153198
Sequoia NP,Pacific West,CA,2023,980567
