ParkName,Region,State,Year,RecreationVisits
Shenandoah NP,Northeast,VA,1979,1521451
Shenandoah NP,Northeast,VA,1980,1699228
Shenandoah NP,Northeast,VA,1981,1819546
Shenandoah NP,Northeast,VA,1982,1751972
Shenandoah NP,Northeast,VA,1983,1768378
Shenandoah NP,Northeast,VA,1984,1869307
Shenandoah NP,Northeast,VA,1985,1933085
Shenandoah NP,Northeast,VA,1986,1843985
Shenandoah NP,Northeast,VA,1987,1767727
Shenandoah NP,Northeast,VA,1988,1937155
Shenandoah NP,Northeast,VA,1989,1873817
Shenandoah NP,Northeast,VA,1990,1771780
Shenandoah NP,Northeast,VA,1991,1939486
Shenandoah NP,Northeast,VA,1992,1822193
Shenandoah NP,Northeast,VA,1993,1951366
Shenandoah NP,Northeast,VA,1994,1926883
Shenandoah NP,Northeast,VA,1995,1757794
Shenandoah NP,Northeast,VA,1996,1571019
Shenandoah NP,Northeast,VA,1997,1587790
Shenandoah NP,Northeast,VA,1998,1473100
Shenandoah NP,Northeast,VA,1999,1339286
Shenandoah NP,Northeast,VA,2000,1419579
Shenandoah NP,Northeast,VA,2001,1498561
Shenandoah NP,Northeast,VA,2002,1389244
Shenandoah NP,Northeast,VA,2003,1163950
Shenandoah NP,Northeast,VA,2004,1261000
Shenandoah NP,Northeast,VA,2005,1094912
Shenandoah NP,Northeast,VA,2006,1076150
Shenandoah NP,Northeast,VA,2007,1107227
Shenandoah NP,Northeast,VA,2008,1075878
Shenandoah NP,Northeast,VA,2009,1120981
Shenandoah NP,Northeast,VA,2010,1253386
Shenandoah NP,Northeast,VA,2011,1209883
Shenandoah NP,Northeast,VA,2012,1210200
Shenandoah NP,Northeast,VA,2013,1136505
Shenandoah NP,Northeast,VA,2014,1255321
Shenandoah NP,Northeast,VA,2015,1321873
Shenandoah NP,Northeast,VA,2016,1437341
Shenandoah NP,Northeast,VA,2017,1458874
Shenandoah NP,Northeast,VA,2018,1264880
Shenandoah NP,Northeast,VA,2019,1425507
Shenandoah NP,Northeast,VA,2020,1666265
Shenandoah NP,Northeast,VA,2021,1592312
Shenandoah NP,Northeast,VA,2022,1449300
Shenandoah NP,Northeast,VA,2023,1576008
