ParkName,Region,State,Year,RecreationVisits
Theodore Roosevelt NP,Midwest,ND,1979,591646
Theodore Roosevelt NP,Midwest,ND,1980,595734
Theodore Roosevelt NP,Midwest,ND,1981,702873
Theodore Roosevelt NP,Midwest,ND,1982,677014
Theodore Roosevelt NP,Midwest,ND,1983,415118
Theodore Roosevelt NP,Midwest,ND,1984,361139
Theodore Roosevelt NP,Midwest,ND,1985,377152
Theodore Roosevelt NP,Midwest,ND,1986,390553
Theodore Roosevelt NP,Midwest,ND,1987,424846
Theodore Roosevelt NP,Midwest,ND,1988,413527
Theodore Roosevelt NP,Midwest,ND,1989,459171
Theodore Roosevelt NP,Midwest,ND,1990,460718
Theodore Roosevelt NP,Midwest,ND,1991,468926
Theodore Roosevelt NP,Midwest,ND,1992,475937
Theodore Roosevelt NP,Midwest,ND,1993,475160
Theodore Roosevelt NP,Midwest,ND,1994,505349
Theodore Roosevelt NP,Midwest,ND,1995,460699
Theodore Roosevelt NP,Midwest,ND,1996,436081
Theodore Roosevelt NP,Midwest,ND,1997,393265
Theodore Roosevelt NP,Midwest,ND,1998,448286
Theodore Roosevelt NP,Midwest,ND,1999,431311
Theodore Roosevelt NP,Midwest,ND,2000,431813
Theodore Roosevelt NP,Midwest,ND,2001,446609
Theodore Roosevelt NP,Midwest,ND,2002,471551
Theodore Roosevelt NP,Midwest,ND,2003,490295
Theodore Roosevelt NP,Midwest,ND,2004,474589
Theodore Roosevelt NP,Midwest,ND,2005,493198
Theodore Roosevelt NP,Midwest,ND,2006,435359
Theodore Roosevelt NP,Midwest,ND,2007,456588
Theodore Roosevelt NP,Midwest,ND,2008,516804
Theodore Roosevelt NP,Midwest,ND,2009,586928
Theodore Roosevelt NP,Midwest,ND,2010,623748
Theodore Roosevelt NP,Midwest,ND,2011,563407
Theodore Roosevelt NP,Midwest,ND,2012,640555
Theodore Roosevelt NP,Midwest,ND,2013,545090
Theodore Roosevelt NP,Midwest,ND,2014,559580
Theodore Roosevelt NP,Midwest,ND,2015,580033
Theodore Roosevelt NP,Midwest,ND,2016,753880
Theodore Roosevelt NP,Midwest,ND,2017,708003
Theodore Roosevelt NP,Midwest,ND,2018,749389
Theodore Roosevelt NP,Midwest,ND,2019,691658
Theodore Roosevelt NP,Midwest,ND,2020,551303
Theodore Roosevelt NP,Midwest,ND,2021,796085
Theodore Roosevelt NP,Midwest,ND,2022,668679
Theodore Roosevelt NP,Midwest,ND,2023,746862
