ParkName,Region,State,Year,RecreationVisits
Virgin Islands NP,Southeast,VI,1979,549732
Virgin Islands NP,Southeast,VI,1980,547918
Virgin Islands NP,Southeast,VI,1981,566528
Virgin Islands NP,Southeast,VI,1982,673480
Virgin Islands NP,Southeast,VI,1983,676800
Virgin Islands NP,Southeast,VI,1984,666435
Virgin Islands NP,Southeast,VI,1985,699398
Virgin Islands NP,Southeast,VI,1986,766458
Virgin Islands NP,Southeast,VI,1987,785354
Virgin Islands NP,Southeast,VI,1988,838684
Virgin Islands NP,Southeast,VI,1989,664032
Virgin Islands NP,Southeast,VI,1990,664735
Virgin Islands NP,Southeast,VI,1991,710180
Virgin Islands NP,Southeast,VI,1992,772470
Virgin Islands NP,Southeast,VI,1993,807093
Virgin Islands NP,Southeast,VI,1994,635291
Virgin Islands NP,Southeast,VI,1995,536058
Virgin Islands NP,Southeast,VI,1996,475942
Virgin Islands NP,Southeast,VI,1997,592537
Virgin Islands NP,Southeast,VI,1998,556849
Virgin Islands NP,Southeast,VI,1999,425345
Virgin Islands NP,Southeast,VI,2000,703992
Virgin Islands NP,Southeast,VI,2001,677401
Virgin Islands NP,Southeast,VI,2002,693494
Virgin Islands NP,Southeast,VI,2003,821681
Virgin Islands NP,Southeast,VI,2004,793590
Virgin Islands NP,Southeast,VI,2005,803040
Virgin Islands NP,Southeast,VI,2006,677289
Virgin Islands NP,Southeast,VI,2007,571382
Virgin Islands NP,Southeast,VI,2008,469034
Virgin Islands NP,Southeast,VI,2009,415847
Virgin Islands NP,Southeast,VI,2010,493477
Virgin Islands NP,Southeast,VI,2011,442414
Virgin Islands NP,Southeast,VI,2012,483341
Virgin Islands NP,Southeast,VI,2013,438601
Virgin Islands NP,Southeast,VI,2014,426930
Virgin Islands NP,Southeast,VI,2015,438372
Virgin Islands NP,Southeast,VI,2016,411343
Virgin Islands NP,Southeast,VI,2017,304408
Virgin Islands NP,Southeast,VI,2018,112287
Virgin Islands NP,Southeast,VI,2019,133398
Virgin Islands NP,Southeast,VI,2020,167540
Virgin Islands NP,Southeast,VI,2021,323999
Virgin Islands NP,Southeast,VI,2022,196752
Virgin Islands NP,Southeast,VI,2023,343685
