ParkName,Region,State,Year,RecreationVisits
Voyageurs NP,Midwest,MN,1979,195277
Voyageurs NP,Midwest,MN,1980,266935
Voyageurs NP,Midwest,MN,1981,257490
Voyageurs NP,Midwest,MN,1982,143724
Voyageurs NP,Midwest,MN,1983,146454
Voyageurs NP,Midwest,MN,1984,154723
Voyageurs NP,Midwest,MN,1985,183984
Voyageurs NP,Midwest,MN,1986,172137
Voyageurs NP,Midwest,MN,1987,201727
Voyageurs NP,Midwest,MN,1988,223735
Voyageurs NP,Midwest,MN,1989,209626
Voyageurs NP,Midwest,MN,1990,223554
Voyageurs NP,Midwest,MN,1991,221857
Voyageurs NP,Midwest,MN,1992,227498
Voyageurs NP,Midwest,MN,1993,228143
Voyageurs NP,Midwest,MN,1994,224181
Voyageurs NP,Midwest,MN,1995,210938
Voyageurs NP,Midwest,MN,1996,246588
Voyageurs NP,Midwest,MN,1997,223418
Voyageurs NP,Midwest,MN,1998,231958
Voyageurs NP,Midwest,MN,1999,228898
Voyageurs NP,Midwest,MN,2000,227371
Voyageurs NP,Midwest,MN,2001,243374
Voyageurs NP,Midwest,MN,2002,238227
Voyageurs NP,Midwest,MN,2003,234231
Voyageurs NP,Midwest,MN,2004,249041
Voyageurs NP,Midwest,MN,2005,234577
Voyageurs NP,Midwest,MN,2006,231875
Voyageurs NP,Midwest,MN,2007,220650
Voyageurs NP,Midwest,MN,2008,221585
Voyageurs NP,Midwest,MN,2009,222429
Voyageurs NP,Midwest,MN,2010,253891
Voyageurs NP,Midwest,MN,2011,177184
Voyageurs NP,Midwest,MN,2012,214841
Voyageurs NP,Midwest,MN,2013,233390
Voyageurs NP,Midwest,MN,2014,239160
Voyageurs NP,Midwest,MN,2015,238313
Voyageurs NP,Midwest,MN,2016,241912
Voyageurs NP,Midwest,MN,2017,237250
Voyageurs NP,Midwest,MN,2018,239656
Voyageurs NP,Midwest,MN,2019,232974
Voyageurs NP,Midwest,MN,2020,263091
Voyageurs NP,Midwest,MN,2021,243042
Voyageurs NP,Midwest,MN,2022,221434
Voyageurs NP,Midwest,MN,2023,220825
