ParkName,Region,State,Year,RecreationVisits
White Sands NP,Intermountain,NM,1979,580814
White Sands NP,Intermountain,NM,1980,511476
White Sands NP,Intermountain,NM,1981,556494
White Sands NP,Intermountain,NM,1982,543581
White Sands NP,Intermountain,NM,1983,492902
White Sands NP,Intermountain,NM,1984,542930
White Sands NP,Intermountain,NM,1985,486754
White Sands NP,Intermountain,NM,1986,666879
White Sands NP,Intermountain,NM,1987,567613
White Sands NP,Intermountain,NM,1988,556185
White Sands NP,Intermountain,NM,1989,568530
White Sands NP,Intermountain,NM,1990,582487
White Sands NP,Intermountain,NM,1991,588543
White Sands NP,Intermountain,NM,1992,590371
White Sands NP,Intermountain,NM,1993,611252
White Sands NP,Intermountain,NM,1994,583061
White Sands NP,Intermountain,NM,1995,604796
White Sands NP,Intermountain,NM,1996,616699
White Sands NP,Intermountain,NM,1997,629507
White Sands NP,Intermountain,NM,1998,592957
White Sands NP,Intermountain,NM,1999,553948
White Sands NP,Intermountain,NM,2000,515229
White Sands NP,Intermountain,NM,2001,518958
White Sands NP,Intermountain,NM,2002,498964
White Sands NP,Intermountain,NM,2003,492008
White Sands NP,Intermountain,NM,2004,448185
White Sands NP,Intermountain,NM,2005,450447
White Sands NP,Intermountain,NM,2006,440927
White Sands NP,Intermountain,NM,2007,437042
White Sands NP,Intermountain,NM,2008,438511
White Sands NP,Intermountain,NM,2009,471167
White Sands NP,Intermountain,NM,2010,470921
White Sands NP,Intermountain,NM,2011,428924
White Sands NP,Intermountain,NM,2012,447385
White Sands NP,Intermountain,NM,2013,490544
White Sands NP,Intermountain,NM,2014,503660
White Sands NP,Intermountain,NM,2015,497506
White Sands NP,Intermountain,NM,2016,555793
White Sands NP,Intermountain,NM,2017,612468
White Sands NP,Intermountain,NM,2018,603008
White Sands NP,Intermountain,NM,2019,608785
White Sands NP,Intermountain,NM,2020,415383
White Sands NP,Intermountain,NM,2021,782469
White Sands NP,Intermountain,NM,2022,705127
White Sands NP,Intermountain,NM,2023,729096
