ParkName,Region,State,Year,RecreationVisits
Wind Cave NP,Midwest,SD,1979,457443
Wind Cave NP,Midwest,SD,1980,473061
Wind Cave NP,Midwest,SD,1981,503424
Wind Cave NP,Midwest,SD,1982,467392
Wind Cave NP,Midwest,SD,1983,503739
Wind Cave NP,Midwest,SD,1984,536022
Wind Cave NP,Midwest,SD,1985,477585
Wind Cave NP,Midwest,SD,1986,483334
Wind Cave NP,Midwest,SD,1987,563720
Wind Cave NP,Midwest,SD,1988,578016
Wind Cave NP,Midwest,SD,1989,561758
Wind Cave NP,Midwest,SD,1990,586464
Wind Cave NP,Midwest,SD,1991,597057
Wind Cave NP,Midwest,SD,1992,660296
Wind Cave NP,Midwest,SD,1993,537075
Wind Cave NP,Midwest,SD,1994,871061
Wind Cave NP,Midwest,SD,1995,805688
Wind Cave NP,Midwest,SD,1996,781171
Wind Cave NP,Midwest,SD,1997,832033
Wind Cave NP,Midwest,SD,1998,849974
Wind Cave NP,Midwest,SD,1999,761717
Wind Cave NP,Midwest,SD,2000,668507
Wind Cave NP,Midwest,SD,2001,650357
Wind Cave NP,Midwest,SD,2002,810298
Wind Cave NP,Midwest,SD,2003,874167
Wind Cave NP,Midwest,SD,2004,593877
Wind Cave NP,Midwest,SD,2005,612478
Wind Cave NP,Midwest,SD,2006,591049
Wind Cave NP,Midwest,SD,2007,603158
Wind Cave NP,Midwest,SD,2008,573433
Wind Cave NP,Midwest,SD,2009,587868
Wind Cave NP,Midwest,SD,2010,577141
Wind Cave NP,Midwest,SD,2011,538394
Wind Cave NP,Midwest,SD,2012,529083
Wind Cave NP,Midwest,SD,2013,516142
Wind Cave NP,Midwest,SD,2014,547022
Wind Cave NP,Midwest,SD,2015,612198
Wind Cave NP,Midwest,SD,2016,617377
Wind Cave NP,Midwest,SD,2017,619924
Wind Cave NP,Midwest,SD,2018,656397
Wind Cave NP,Midwest,SD,2019,615350
Wind Cave NP,Midwest,SD,2020,448405
Wind Cave NP,Midwest,SD,2021,709001
Wind Cave NP,Midwest,SD,2022,607418
Wind Cave NP,Midwest,SD,2023,592459
