ParkName,Region,State,Year,RecreationVisits
Wrangell-St. Elias NP & PRES,Alaska,AK,1982,14871
Wrangell-St. Elias NP & PRES,Alaska,AK,1983,18760
Wrangell-St. Elias NP & PRES,Alaska,AK,1984,22183
Wrangell-St. Elias NP & PRES,Alaska,AK,1985,23171
Wrangell-St. Elias NP & PRES,Alaska,AK,1986,26557
Wrangell-St. Elias NP & PRES,Alaska,AK,1987,29191
Wrangell-St. Elias NP & PRES,Alaska,AK,1988,31046
Wrangell-St. Elias NP & PRES,Alaska,AK,1989,33221
Wrangell-St. Elias NP & PRES,Alaska,AK,1990,35976
Wrangell-St. Elias NP & PRES,Alaska,AK,1991,38971
Wrangell-St. Elias NP & PRES,Alaska,AK,1992,42229
Wrangell-St. Elias NP & PRES,Alaska,AK,1993,45335
Wrangell-St. Elias NP & PRES,Alaska,AK,1994,50146
Wrangell-St. Elias NP & PRES,Alaska,AK,1995,54430
Wrangell-St. Elias NP & PRES,Alaska,AK,1996,31467
Wrangell-St. Elias NP & PRES,Alaska,AK,1997,31833
Wrangell-St. Elias NP & PRES,Alaska,AK,1998,27859
Wrangell-St. Elias NP & PRES,Alaska,AK,1999,29252
Wrangell-St. Elias NP & PRES,Alaska,AK,2000,28331
Wrangell-St. Elias NP & PRES,Alaska,AK,2001,28643
Wrangell-St. Elias NP & PRES,Alaska,AK,2002,40352
Wrangell-St. Elias NP & PRES,Alaska,AK,2003,43311
Wrangell-St. Elias NP & PRES,Alaska,AK,2004,57221
Wrangell-St. Elias NP & PRES,Alaska,AK,2005,56224
Wrangell-St. Elias NP & PRES,Alaska,AK,2006,50336
Wrangell-St. Elias NP & PRES,Alaska,AK,2007,61085
Wrangell-St. Elias NP & PRES,Alaska,AK,2008,65693
Wrangell-St. Elias NP & PRES,Alaska,AK,2009,59966
Wrangell-St. Elias NP & PRES,Alaska,AK,2010,73170
Wrangell-St. Elias NP & PRES,Alaska,AK,2011,65225
Wrangell-St. Elias NP & PRES,Alaska,AK,2012,87158
Wrangell-St. Elias NP & PRES,Alaska,AK,2013,69984
Wrangell-St. Elias NP & PRES,Alaska,AK,2014,74722
Wrangell-St. Elias NP & PRES,Alaska,AK,2015,80366
Wrangell-St. Elias NP & PRES,Alaska,AK,2016,79047
Wrangell-St. Elias NP & PRES,Alaska,AK,2017,68292
Wrangell-St. Elias NP & PRES,Alaska,AK,2018,79450
Wrangell-St. Elias NP & PRES,Alaska,AK,2019,74518
Wrangell-St. Elias NP & PRES,Alaska,AK,2020,16655
Wrangell-St. Elias NP & PRES,Alaska,AK,2021,50189
Wrangell-St. Elias NP & PRES,Alaska,AK,2022,65236
Wrangell-St. Elias NP & PRES,Alaska,AK,2023,78305
