ParkName,Region,State,Year,RecreationVisits
Yellowstone NP,Intermountain,WY,1979,1892908
Yellowstone NP,Intermountain,WY,1980,2000269
Yellowstone NP,Intermountain,WY,1981,2521831
Yellowstone NP,Intermountain,WY,1982,2368897
Yellowstone NP,Intermountain,WY,1983,2347242
Yellowstone NP,Intermountain,WY,1984,2222027
Yellowstone NP,Intermountain,WY,1985,2226159
Yellowstone NP,Intermountain,WY,1986,2363756
Yellowstone NP,Intermountain,WY,1987,2573194
Yellowstone NP,Intermountain,WY,1988,2182113
Yellowstone NP,Intermountain,WY,1989,2644442
Yellowstone NP,Intermountain,WY,1990,2823572
Yellowstone NP,Intermountain,WY,1991,2920537
Yellowstone NP,Intermountain,WY,1992,3144405
Yellowstone NP,Intermountain,WY,1993,2912193
Yellowstone NP,Intermountain,WY,1994,3046145
Yellowstone NP,Intermountain,WY,1995,3125285
Yellowstone NP,Intermountain,WY,1996,3012171
Yellowstone NP,Intermountain,WY,1997,2889513
Yellowstone NP,Intermountain,WY,1998,3120830
Yellowstone NP,Intermountain,WY,1999,3131381
Yellowstone NP,Intermountain,WY,2000,2838233
Yellowstone NP,Intermountain,WY,2001,2758526
Yellowstone NP,Intermountain,WY,2002,2973677
Yellowstone NP,Intermountain,WY,2003,3019375
Yellowstone NP,Intermountain,WY,2004,2868317
Yellowstone NP,Intermountain,WY,2005,2835651
Yellowstone NP,Intermountain,WY,2006,2870295
Yellowstone NP,Intermountain,WY,2007,3151343
Yellowstone NP,Intermountain,WY,2008,3066580
Yellowstone NP,Intermountain,WY,2009,3295187
Yellowstone NP,Intermountain,WY,2010,3640185
Yellowstone NP,Intermountain,WY,2011,3394326
Yellowstone NP,Intermountain,WY,2012,3447729
Yellowstone NP,Intermountain,WY,2013,3188030
Yellowstone NP,Intermountain,WY,2014,3513484
Yellowstone NP,Intermountain,WY,2015,4097710
Yellowstone NP,Intermountain,WY,2016,4257177
Yellowstone NP,Intermountain,WY,2017,4116524
Yellowstone NP,Intermountain,WY,2018,4115000
Yellowstone NP,Intermountain,WY,2019,4020288
Yellowstone NP,Intermountain,WY,2020,3806306
Yellowstone NP,Intermountain,WY,2021,4860242
Yellowstone NP,Intermountain,WY,2022,3290242
Yellowstone NP,Intermountain,WY,2023,4501382
