ParkName,Region,State,Year,RecreationVisits
Yosemite NP,Pacific West,CA,1979,2350782
Yosemite NP,Pacific West,CA,1980,2490282
Yosemite NP,Pacific West,CA,1981,2516893
Yosemite NP,Pacific West,CA,1982,2415587
Yosemite NP,Pacific West,CA,1983,2457464
Yosemite NP,Pacific West,CA,1984,2738467
Yosemite NP,Pacific West,CA,1985,2831952
Yosemite NP,Pacific West,CA,1986,2876717
Yosemite NP,Pacific West,CA,1987,3152275
Yosemite NP,Pacific West,CA,1988,3216681
Yosemite NP,Pacific West,CA,1989,3308159
Yosemite NP,Pacific West,CA,1990,3124939
Yosemite NP,Pacific West,CA,1991,3423101
Yosemite NP,Pacific West,CA,1992,3819518
Yosemite NP,Pacific West,CA,1993,3839645
Yosemite NP,Pacific West,CA,1994,3962117
Yosemite NP,Pacific West,CA,1995,3958406
Yosemite NP,Pacific West,CA,1996,4046207
Yosemite NP,Pacific West,CA,1997,3669970
Yosemite NP,Pacific West,CA,1998,3657132
Yosemite NP,Pacific West,CA,1999,3493607
Yosemite NP,Pacific West,CA,2000,3400903
Yosemite NP,Pacific West,CA,2001,3368731
Yosemite NP,Pacific West,CA,2002,3361867
Yosemite NP,Pacific West,CA,2003,3378664
Yosemite NP,Pacific West,CA,2004,3280911
Yosemite NP,Pacific West,CA,2005,3304144
Yosemite NP,Pacific West,CA,2006,3242644
Yosemite NP,Pacific West,CA,2007,3503428
Yosemite NP,Pacific West,CA,2008,3431514
Yosemite NP,Pacific West,CA,2009,3737472
Yosemite NP,Pacific West,CA,2010,3901408
Yosemite NP,Pacific West,CA,2011,3951393
Yosemite NP,Pacific West,CA,2012,3853404
Yosemite NP,Pacific West,CA,2013,3691191
Yosemite NP,Pacific West,CA,2014,3882642
Yosemite NP,Pacific West,CA,2015,4150217
Yosemite NP,Pacific West,CA,2016,5028868
Yosemite NP,Pacific West,CA,2017,4336890
Yosemite NP,Pacific West,CA,2018,4009436
Yosemite NP,Pacific West,CA,2019,4422861
Yosemite NP,Pacific West,CA,2020,2268313
Yosemite NP,Pacific West,CA,2021,3287595
Yosemite NP,Pacific West,CA,2022,3667550
Yosemite NP,Pacific West,CA,2023,3897070
