ParkName,Region,State,Year,RecreationVisits
Zion NP,Intermountain,UT,1979,1040528
Zion NP,Intermountain,UT,1980,1123846
Zion NP,Intermountain,UT,1981,1288808
Zion NP,Intermountain,UT,1982,1246290
Zion NP,Intermountain,UT,1983,1273030
Zion NP,Intermountain,UT,1984,1377254
Zion NP,Intermountain,UT,1985,1503272
Zion NP,Intermountain,UT,1986,1670503
Zion NP,Intermountain,UT,1987,1777619
Zion NP,Intermountain,UT,1988,1948332
Zion NP,Intermountain,UT,1989,1998856
Zion NP,Intermountain,UT,1990,2102400
Zion NP,Intermountain,UT,1991,2236997
Zion NP,Intermountain,UT,1992,2390626
Zion NP,Intermountain,UT,1993,2392580
Zion NP,Intermountain,UT,1994,2270871
Zion NP,Intermountain,UT,1995,2430162
Zion NP,Intermountain,UT,1996,2498001
Zion NP,Intermountain,UT,1997,2445534
Zion NP,Intermountain,UT,1998,2370048
Zion NP,Intermountain,UT,1999,2449664
Zion NP,Intermountain,UT,2000,2432348
Zion NP,Intermountain,UT,2001,2217779
Zion NP,Intermountain,UT,2002,2592545
Zion NP,Intermountain,UT,2003,2458792
Zion NP,Intermountain,UT,2004,2677342
Zion NP,Intermountain,UT,2005,2586665
Zion NP,Intermountain,UT,2006,2567350
Zion NP,Intermountain,UT,2007,2657281
Zion NP,Intermountain,UT,2008,2690154
Zion NP,Intermountain,UT,2009,2735402
Zion NP,Intermountain,UT,2010,2665972
Zion NP,Intermountain,UT,2011,2825505
Zion NP,Intermountain,UT,2012,2973607
Zion NP,Intermountain,UT,2013,2807387
Zion NP,Intermountain,UT,2014,3189696
Zion NP,Intermountain,UT,2015,3648846
Zion NP,Intermountain,UT,2016,4295127
Zion NP,Intermountain,UT,2017,4504812
Zion NP,Intermountain,UT,2018,4320033
Zion NP,Intermountain,UT,2019,4488268
Zion NP,Intermountain,UT,2020,3591254
Zion NP,Intermountain,UT,2021,5039835
Zion NP,Intermountain,UT,2022,4692417
Zion NP,Intermountain,UT,2023,4623238
