Year,RecreationVisits
1979,352796
1980,323190
1981,354779
1982,473184
1983,508964
1984,592376
1985,666946
1986,806639
1987,851478
1988,899356
1989,860606
1990,889781
1991,958034
1992,925831
1993,1053523
1994,1072965
1995,1103214
1996,973216
1997,1077026
1998,1138459
1999,1221463
2000,1123594
2001,1111458
2002,1085673
2003,1078713
2004,1136094
2005,1152048
2006,1218220
2007,1342180
2008,1216837
2009,1139326
2010,1273258
2011,1327850
2012,1303113
2013,1454851
2014,1437095
2015,1555554
2016,1617631
2017,1649006
2018,1670446
2019,1831966
2020,263651
2021,843204
2022,1506976
2023,1747363
