Year,RecreationVisits
1979,16521775
1980,17147096
1981,18797002
1982,17799473
1983,17297427
1984,16452206
1985,16962134
1986,18245672
1987,19716820
1988,20187220
1989,20898939
1990,21733181
1991,22718281
1992,24220188
1993,25170018
1994,24821174
1995,25087634
1996,24981790
1997,24969693
1998,24741868
1999,24939156
2000,23856019
2001,22963059
2002,23131181
2003,22804564
2004,23218814
2005,23471257
2006,22958598
2007,24279223
2008,23840592
2009,24853772
2010,25783916
2011,25168470
2012,26036927
2013,25494791
2014,27922767
2015,31757055
2016,35314655
2017,36736859
2018,36771564
2019,36706116
2020,26147768
2021,37149244
2022,33085963
2023,35102946
