Year,RecreationVisits
1979,7244570
1980,7178946
1981,7734205
1982,8099143
1983,8663442
1984,7538475
1985,8064002
1986,8302824
1987,8552030
1988,9130234
1989,9238677
1990,9247016
1991,10072379
1992,9914763
1993,10488091
1994,11894795
1995,12320113
1996,12681447
1997,12382084
1998,13067440
1999,12333714
2000,12396869
2001,12003307
2002,12429994
2003,11567097
2004,11585403
2005,11213096
2006,10367947
2007,10327562
2008,10026380
2009,10524468
2010,10839283
2011,9822690
2012,10272882
2013,9690950
2014,9213212
2015,9480207
2016,9572166
2017,9992852
2018,10055381
2019,10432134
2020,9069194
2021,12058648
2022,12542193
2023,13187265
