Year,RecreationVisits
1979,4308817
1980,4478894
1981,4817518
1982,5324086
1983,5893017
1984,5835365
1985,5941676
1986,6167118
1987,6492672
1988,6839160
1989,7725964
1990,4489406
1991,5187515
1992,5144616
1993,5612998
1994,5717626
1995,5780410
1996,5513487
1997,5576338
1998,5265246
1999,5128014
2000,5021348
2001,5246641
2002,5163691
2003,4706176
2004,4620629
2005,4192210
2006,4284426
2007,4487467
2008,4364589
2009,4492997
2010,4908807
2011,4655616
2012,4769447
2013,4463250
2014,4943249
2015,5311810
2016,5938665
2017,6136803
2018,6035082
2019,6058514
2020,5389673
2021,7344130
2022,7013083
2023,7163121
