Year,RecreationVisits
1979,13292596
1980,13307431
1981,14296374
1982,14423689
1983,14560368
1984,15259647
1985,13941994
1986,15254579
1987,15961429
1988,16091853
1989,15955972
1990,15518263
1991,15994460
1992,16162581
1993,16029527
1994,17157925
1995,18104099
1996,17169114
1997,18250777
1998,17361847
1999,17616990
2000,16925617
2001,16578372
2002,16671494
2003,16290686
2004,15849608
2005,16440099
2006,15446393
2007,15771845
2008,15681817
2009,16106931
2010,16261267
2011,16092070
2012,16198104
2013,16031663
2014,17540230
2015,18738798
2016,21202331
2017,20965327
2018,19845853
2019,20683856
2020,13234827
2021,17908527
2022,18577208
2023,19177897
