Year,RecreationVisits
1979,10884546
1980,11485617
1981,11164102
1982,11287112
1983,11568303
1984,11657400
1985,12710739
1986,13598409
1987,14063623
1988,12945493
1989,12218640
1990,12314968
1991,13352188
1992,13491815
1993,13559520
1994,12269494
1995,13057991
1996,12964949
1997,14054811
1998,14335551
1999,14092902
2000,14196936
2001,13496796
2002,13564729
2003,13770197
2004,13702726
2005,13817154
2006,12325463
2007,12199565
2008,11636258
2009,11924748
2010,12012488
2011,11540328
2012,12484978
2013,12000542
2014,12870467
2015,13461907
2016,13973763
2017,13910548
2018,13335809
2019,15298198
2020,13826590
2021,16948104
2022,15936758
2023,16011612
