Year,RecreationVisits
1979,3369785
1980,3599411
1981,3690700
1982,3570553
1983,3591282
1984,3587637
1985,4084899
1986,4410695
1987,4961045
1988,5392314
1989,5496541
1990,5323605
1991,5439586
1992,5943635
1993,6340298
1994,6055928
1995,6225523
1996,6038841
1997,6354344
1998,5772348
1999,5991116
2000,5830615
2001,5414587
2002,5188605
2003,5354842
2004,5557698
2005,5727108
2006,5481103
2007,5635735
2008,5668165
2009,5644915
2010,5770725
2011,5522277
2012,5720495
2013,5887749
2014,6267142
2015,7067407
2016,7433511
2017,7846755
2018,7982822
2019,7638225
2020,4043807
2021,6202797
2022,6145504
2023,6265102
