Year,RecreationVisits
1979,1118800
1980,1160588
1981,1177911
1982,1015580
1983,1160008
1984,1071853
1985,1112764
1986,1175170
1987,1101242
1988,1185772
1989,1272771
1990,1123175
1991,1203929
1992,1504013
1993,1477299
1994,1618847
1995,1617077
1996,1538105
1997,1509596
1998,1495993
1999,1384469
2000,1338156
2001,1296786
2002,1440227
2003,1561311
2004,1418735
2005,1340160
2006,1273456
2007,1300152
2008,1238147
2009,1284707
2010,1311807
2011,1396354
2012,1302505
2013,1325719
2014,1424484
2015,1418162
2016,1544300
2017,1561616
2018,1506887
2019,1467153
2020,1348215
2021,2162884
2022,2646133
2023,2502967
